per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	0	0	0.02	0	0.02	0.02	0	0.02	0.04	0.02	0.04	0.02	
10180	0.6865618860512	0.7034479371316	0.741119842829	0.6872298624754	0.7636444007858	0.6978290766208	0.7892141453831	0.752278978389	0.6856188605109	0.7238998035362	0.7141944990176	0.7471218074657	
20350	0.7580982800983	0.7750122850124	0.8047518427518	0.7593513513513	0.8323587223587	0.7675675675677	0.8392727272728	0.810117936118	0.7466584766586	0.7823390663391	0.7766044226044	0.811606879607	
30520	0.7937680209697	0.8095609436435	0.8355307994758	0.7965235910878	0.8638106159895	0.8044462647444	0.8637024901703	0.8400982961991	0.7800032765399	0.8130373525558	0.8091480996068	0.8450196592399	
40690	0.8202506758417	0.8336372573115	0.8557557139346	0.8222265912999	0.8835954780044	0.8324649791102	0.8806316048168	0.8590390759401	0.8055566478252	0.8336151388548	0.832199557631	0.8656918161711	
50860	0.8394553676761	0.8518718049548	0.8706488399528	0.8429079826977	0.8979709005111	0.8514962642547	0.8919229256785	0.8724852536375	0.8232265041291	0.8485194651987	0.8491407786078	0.8811207235547	
61030	0.8546272325086	0.8652269375716	0.8816745862691	0.8588235294117	0.9094560052434	0.8689120104866	0.9008110765196	0.8836097001475	0.8370899557596	0.8605308864492	0.8620448959528	0.8921104374898	
71200	0.8687120786516	0.8762893258427	0.8912359550562	0.8736966292136	0.918422752809	0.8833595505617	0.9082921348314	0.8915674157305	0.8501320224721	0.8713778089888	0.8739269662922	0.9021938202249	
81370	0.8798783335382	0.8865109991397	0.8995071893819	0.8864003932652	0.9258584244809	0.8948863217401	0.9141759862357	0.8995747818607	0.8597001351849	0.8791974929334	0.8834656507311	0.9103182991273	
91540	0.8899377321389	0.8940605199913	0.9060825868473	0.8967784575049	0.9316058553637	0.9058258684729	0.9196963076251	0.9065424950839	0.8697935328818	0.8871116451824	0.892469958488	0.9175999563032	
101710	0.8992812899419	0.9014619998035	0.9125336741717	0.9069845639564	0.9373316291418	0.9156208829024	0.9238590109136	0.9121000884869	0.8781358765116	0.893529643103	0.9001838560613	0.9237764231639	
