per_sample	CK	JXBR16	RW37	R37J16
10	0	0.02	0.04	0	
10180	0.6869253438115	0.6973772102161	0.7311493123774	0.7108055009822	
20350	0.757773955774	0.7616805896807	0.7860491400491	0.7738918918919	
30520	0.7929325032765	0.7982404980341	0.816359764089	0.8039351245085	
40690	0.8156647825019	0.8210051609732	0.8344802162694	0.8245490292455	
50860	0.8333090837593	0.8374577270941	0.8476740070784	0.8396873771136	
61030	0.8453662133378	0.8506439456004	0.8584581353433	0.8520874979519	
71200	0.8563848314607	0.8624241573033	0.8676685393258	0.8606938202247	
81370	0.8651616074721	0.8714686002212	0.8757183237067	0.8694039572326	
91540	0.8728981865851	0.8798219357658	0.8818461874591	0.8757417522396	
101710	0.8800963523744	0.8872500245796	0.8874712417656	0.8820469963622	
