per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	10	10	9.9	10	9.9	9.9	10	9.9	9.8	9.9	9.8	9.9	
10180	4436.6	4347	3916.7	4442.1	3769.3	4372.5	3217.1	3665.4	4347.4	4003.4	4043	3858.3	
20350	7206.5	6913.5	6177.2	7180.1	5737.9	7055.4	5074.6	5877.2	7230.4	6498.6	6581.6	6043.9	
30520	9500.2	9038.5	8033.7	9428.5	7298.5	9249.8	6574.1	7628.5	9645.6	8546.1	8686.7	7757.2	
40690	11417.6	10847	9584	11387.4	8609.4	11052.6	7852.9	9150.4	11693.9	10338.5	10492.8	9223.4	
50860	13152.7	12396.9	10956.6	13045.9	9698.9	12683.5	9007.9	10518.5	13585	11936.9	12104.8	10505	
61030	14738.9	13854	12254.1	14585.7	10664.5	14090.5	10076.4	11737.8	15348.2	13439.8	13618.1	11705.9	
71200	16124	15175.9	13403.3	15928.3	11535.7	15313.3	11037.4	12941.3	16905.8	14758.2	14932.8	12730.3	
81370	17398.3	16371.7	14446	17128.4	12314.6	16472	11949.5	13965.9	18441	16052.5	16179.5	13686	
91540	18573	17510.2	15458.2	18258.8	13073.9	17462	12788.6	14926.2	19752.8	17225.2	17288	14521.8	
101710	19637.6	18538.8	16355.6	19253.4	13741.4	18399.3	13599.1	15851	21066.8	18357	18373.7	15353.3	
