	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	10.0	10.0	10.0	10.0	9.0	9.0	10.0	10.0	9.0	10.0	10.0	10.0
alpha_rarefaction_10_1.txt	10	1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0
alpha_rarefaction_10_2.txt	10	2	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_3.txt	10	3	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	10.0
alpha_rarefaction_10_4.txt	10	4	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_5.txt	10	5	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_6.txt	10	6	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_7.txt	10	7	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0
alpha_rarefaction_10_8.txt	10	8	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10_9.txt	10	9	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
alpha_rarefaction_10180_0.txt	10180	0	4451.0	4328.0	3901.0	4378.0	3829.0	4417.0	3260.0	3667.0	4333.0	4031.0	4087.0	3905.0
alpha_rarefaction_10180_1.txt	10180	1	4515.0	4350.0	3912.0	4456.0	3749.0	4453.0	3183.0	3636.0	4356.0	3992.0	4076.0	3800.0
alpha_rarefaction_10180_2.txt	10180	2	4436.0	4350.0	3877.0	4396.0	3770.0	4372.0	3216.0	3677.0	4287.0	4014.0	4061.0	3843.0
alpha_rarefaction_10180_3.txt	10180	3	4416.0	4354.0	3855.0	4451.0	3730.0	4327.0	3263.0	3675.0	4397.0	3979.0	3999.0	3913.0
alpha_rarefaction_10180_4.txt	10180	4	4421.0	4331.0	3933.0	4533.0	3871.0	4370.0	3194.0	3729.0	4368.0	3947.0	3975.0	3853.0
alpha_rarefaction_10180_5.txt	10180	5	4450.0	4369.0	3909.0	4398.0	3768.0	4384.0	3152.0	3631.0	4396.0	4011.0	4048.0	3793.0
alpha_rarefaction_10180_6.txt	10180	6	4471.0	4343.0	3929.0	4472.0	3743.0	4379.0	3237.0	3617.0	4389.0	4009.0	4048.0	3874.0
alpha_rarefaction_10180_7.txt	10180	7	4392.0	4296.0	3949.0	4387.0	3713.0	4325.0	3248.0	3716.0	4321.0	3925.0	4034.0	3851.0
alpha_rarefaction_10180_8.txt	10180	8	4428.0	4349.0	3989.0	4478.0	3751.0	4395.0	3165.0	3655.0	4297.0	4051.0	4048.0	3816.0
alpha_rarefaction_10180_9.txt	10180	9	4386.0	4400.0	3913.0	4472.0	3769.0	4303.0	3253.0	3651.0	4330.0	4075.0	4054.0	3935.0
alpha_rarefaction_20350_0.txt	20350	0	7203.0	6948.0	6129.0	7152.0	5780.0	7015.0	5058.0	5816.0	7251.0	6474.0	6615.0	6054.0
alpha_rarefaction_20350_1.txt	20350	1	7220.0	6968.0	6224.0	7118.0	5771.0	6958.0	4999.0	5839.0	7144.0	6504.0	6552.0	6032.0
alpha_rarefaction_20350_2.txt	20350	2	7225.0	6933.0	6104.0	7187.0	5695.0	7227.0	5058.0	5918.0	7247.0	6501.0	6625.0	5967.0
alpha_rarefaction_20350_3.txt	20350	3	7091.0	6876.0	6173.0	7239.0	5726.0	7030.0	5099.0	5911.0	7218.0	6545.0	6566.0	6039.0
alpha_rarefaction_20350_4.txt	20350	4	7245.0	6937.0	6202.0	7210.0	5739.0	6999.0	5076.0	5805.0	7276.0	6466.0	6590.0	6141.0
alpha_rarefaction_20350_5.txt	20350	5	7292.0	6957.0	6128.0	7183.0	5745.0	7070.0	5096.0	5971.0	7218.0	6480.0	6572.0	6036.0
alpha_rarefaction_20350_6.txt	20350	6	7046.0	6934.0	6202.0	7144.0	5752.0	7070.0	5076.0	5891.0	7142.0	6475.0	6575.0	6050.0
alpha_rarefaction_20350_7.txt	20350	7	7221.0	6875.0	6197.0	7190.0	5722.0	7129.0	5087.0	5941.0	7174.0	6451.0	6576.0	6009.0
alpha_rarefaction_20350_8.txt	20350	8	7222.0	6861.0	6213.0	7288.0	5712.0	7028.0	5078.0	5797.0	7313.0	6530.0	6547.0	6024.0
alpha_rarefaction_20350_9.txt	20350	9	7300.0	6846.0	6200.0	7090.0	5737.0	7028.0	5119.0	5883.0	7321.0	6560.0	6598.0	6087.0
alpha_rarefaction_30520_0.txt	30520	0	9523.0	9003.0	8054.0	9447.0	7377.0	9262.0	6439.0	7613.0	9652.0	8432.0	8679.0	7753.0
alpha_rarefaction_30520_1.txt	30520	1	9407.0	9075.0	8050.0	9403.0	7287.0	9244.0	6646.0	7650.0	9639.0	8622.0	8760.0	7774.0
alpha_rarefaction_30520_2.txt	30520	2	9601.0	9008.0	8076.0	9514.0	7324.0	9225.0	6600.0	7584.0	9700.0	8594.0	8642.0	7760.0
alpha_rarefaction_30520_3.txt	30520	3	9476.0	8992.0	8009.0	9429.0	7345.0	9260.0	6610.0	7754.0	9612.0	8517.0	8787.0	7693.0
alpha_rarefaction_30520_4.txt	30520	4	9431.0	9134.0	7966.0	9438.0	7259.0	9217.0	6639.0	7661.0	9564.0	8575.0	8648.0	7822.0
alpha_rarefaction_30520_5.txt	30520	5	9465.0	8937.0	7988.0	9507.0	7364.0	9299.0	6490.0	7565.0	9673.0	8610.0	8643.0	7735.0
alpha_rarefaction_30520_6.txt	30520	6	9499.0	9055.0	8051.0	9347.0	7237.0	9303.0	6640.0	7555.0	9687.0	8629.0	8621.0	7769.0
alpha_rarefaction_30520_7.txt	30520	7	9499.0	9110.0	8039.0	9292.0	7303.0	9244.0	6613.0	7508.0	9628.0	8496.0	8721.0	7758.0
alpha_rarefaction_30520_8.txt	30520	8	9523.0	8948.0	8015.0	9434.0	7217.0	9293.0	6504.0	7681.0	9737.0	8459.0	8654.0	7764.0
alpha_rarefaction_30520_9.txt	30520	9	9578.0	9123.0	8089.0	9474.0	7272.0	9151.0	6560.0	7714.0	9564.0	8527.0	8712.0	7744.0
alpha_rarefaction_40690_0.txt	40690	0	11399.0	10823.0	9508.0	11345.0	8658.0	10999.0	7809.0	9189.0	11671.0	10390.0	10485.0	9244.0
alpha_rarefaction_40690_1.txt	40690	1	11381.0	10752.0	9556.0	11503.0	8593.0	11029.0	7886.0	9205.0	11705.0	10385.0	10455.0	9268.0
alpha_rarefaction_40690_2.txt	40690	2	11376.0	10902.0	9602.0	11383.0	8545.0	11024.0	7883.0	9093.0	11693.0	10346.0	10434.0	9236.0
alpha_rarefaction_40690_3.txt	40690	3	11461.0	10938.0	9670.0	11467.0	8677.0	10986.0	7847.0	9116.0	11531.0	10318.0	10513.0	9125.0
alpha_rarefaction_40690_4.txt	40690	4	11469.0	10793.0	9692.0	11450.0	8671.0	11096.0	7830.0	9229.0	11691.0	10325.0	10517.0	9161.0
alpha_rarefaction_40690_5.txt	40690	5	11476.0	10825.0	9610.0	11447.0	8446.0	11114.0	7871.0	9089.0	11708.0	10340.0	10508.0	9232.0
alpha_rarefaction_40690_6.txt	40690	6	11364.0	10890.0	9500.0	11315.0	8587.0	11112.0	7851.0	9184.0	11630.0	10338.0	10547.0	9318.0
alpha_rarefaction_40690_7.txt	40690	7	11449.0	10820.0	9620.0	11280.0	8625.0	11050.0	7843.0	9140.0	11714.0	10319.0	10439.0	9188.0
alpha_rarefaction_40690_8.txt	40690	8	11415.0	10811.0	9519.0	11276.0	8647.0	11134.0	7873.0	9095.0	11754.0	10274.0	10575.0	9198.0
alpha_rarefaction_40690_9.txt	40690	9	11386.0	10916.0	9563.0	11408.0	8645.0	10982.0	7836.0	9164.0	11842.0	10350.0	10455.0	9264.0
alpha_rarefaction_50860_0.txt	50860	0	13067.0	12375.0	10966.0	13049.0	9751.0	12749.0	8955.0	10430.0	13587.0	12036.0	12072.0	10488.0
alpha_rarefaction_50860_1.txt	50860	1	13165.0	12463.0	10961.0	13011.0	9670.0	12522.0	9075.0	10485.0	13609.0	11973.0	12151.0	10508.0
alpha_rarefaction_50860_2.txt	50860	2	13217.0	12354.0	10903.0	13009.0	9747.0	12621.0	8950.0	10509.0	13611.0	12029.0	12175.0	10503.0
alpha_rarefaction_50860_3.txt	50860	3	13161.0	12405.0	10973.0	13019.0	9659.0	12651.0	8964.0	10524.0	13542.0	11883.0	12056.0	10532.0
alpha_rarefaction_50860_4.txt	50860	4	13161.0	12470.0	10984.0	13095.0	9553.0	12818.0	9014.0	10414.0	13547.0	11843.0	12205.0	10467.0
alpha_rarefaction_50860_5.txt	50860	5	13126.0	12363.0	11018.0	12958.0	9695.0	12720.0	8966.0	10554.0	13608.0	11913.0	12159.0	10556.0
alpha_rarefaction_50860_6.txt	50860	6	13192.0	12387.0	10933.0	13041.0	9653.0	12666.0	9095.0	10583.0	13542.0	11941.0	12035.0	10467.0
alpha_rarefaction_50860_7.txt	50860	7	13181.0	12368.0	10963.0	13077.0	9787.0	12740.0	9006.0	10609.0	13629.0	11914.0	12133.0	10569.0
