per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	3.32192809489	3.32192809489	3.30192809489	3.32192809489	3.30192809489	3.30192809489	3.32192809489	3.30192809489	3.28192809489	3.30192809489	3.28192809489	3.30192809489	
10180	11.05638051693	11.05649517662	10.80794992486	11.02712313075	10.6789698275	11.03979164873	10.031762661635	10.37258725225	10.79448283296	10.67778183904	10.57204405213	10.71112858009	
20350	11.40738268949	11.36440183857	11.10378495494	11.36288584389	10.93985721372	11.37647654861	10.27513039427	10.67651166797	11.14997154519	11.00156207263	10.88888167376	10.9906113381	
30520	11.57656398216	11.52379161775	11.25776431419	11.5194835995	11.07319288775	11.54559260871	10.39021263735	10.80403864	11.32993426921	11.14774073432	11.04979843587	11.12309517949	
40690	11.67648388618	11.62343595829	11.33296970567	11.63339207461	11.15044685963	11.64471076662	10.45422877845	10.88399332102	11.43677045705	11.2451117061	11.14678019234	11.201842131	
50860	11.74958900812	11.68836655254	11.39231417633	11.69756312955	11.20153320466	11.70952540546	10.49887920921	10.93905563912	11.51078178741	11.30406683841	11.20900188801	11.26065938581	
61030	11.8050321412	11.74020679197	11.44279208569	11.75684956411	11.23775015972	11.7661965688	10.54257113018	10.98151313437	11.56991899734	11.36247663308	11.26430442952	11.30987029647	
71200	11.85292599277	11.78150524383	11.47727330542	11.80001193712	11.26131438976	11.80177921645	10.56938312991	11.02368659086	11.61891611994	11.40124783579	11.3018365091	11.34372010895	
81370	11.88144369917	11.8188255786	11.50461995386	11.83093361135	11.28898269201	11.83658154641	10.59641000162	11.04695715569	11.66204379227	11.42972216119	11.33641580482	11.37100598581	
91540	11.91239232616	11.84173839225	11.53003391981	11.85887683375	11.31324888345	11.85825548155	10.616784103	11.06550006059	11.68105290341	11.45837595139	11.36378373626	11.38836550318	
101710	11.93712478982	11.86366018559	11.54813871796	11.88497105723	11.32860103363	11.88631023529	10.63211061278	11.08625973307	11.71320354152	11.48161916664	11.38692541216	11.40829626536	
