per_sample	CK	JXBR16	RW37	R37J16
10	3.32192809489	3.30192809489	3.28192809489	3.32192809489	
10180	11.12746050191	11.09647641883	10.48113247715	10.76420090905	
20350	11.4636534722	11.44383221862	10.79818104576	11.07348901513	
30520	11.63741298951	11.59664433266	10.93230184506	11.23898788587	
40690	11.73632282541	11.70309325057	11.03147583163	11.33506093622	
50860	11.81245967178	11.78495985753	11.08791676782	11.40254697874	
61030	11.86880659472	11.83263672111	11.14231435834	11.44947579121	
71200	11.91181696456	11.87678928043	11.18696131504	11.49898195478	
81370	11.94677928796	11.91019104084	11.21419665321	11.52720167355	
91540	11.9848110619	11.94174156892	11.244821332	11.56007647126	
101710	12.00525362106	11.96637628343	11.26848295428	11.57937336872	
