per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	0.9	0.9	0.898	0.9	0.898	0.898	0.9	0.898	0.896	0.898	0.896	0.898	
10180	0.9985646708944	0.9986222185339	0.9984469760422	0.9983584824823	0.9965289851436	0.9984785530394	0.9954246393984	0.9962668489779	0.9973972522107	0.9976491406163	0.997122465561	0.9978931164385	
20350	0.9986332242271	0.9986505775466	0.9985092261347	0.9984248979469	0.9966769566976	0.9985185576732	0.995557662769	0.9964227507561	0.9974374282973	0.9977881554372	0.9972064884182	0.9978919020338	
30520	0.9986178356284	0.9986515960143	0.9985390795026	0.9983918677394	0.9966629958396	0.9985392796165	0.9956018273904	0.9963946107144	0.997476597002	0.9977800808271	0.9972331880863	0.9978969349964	
40690	0.998629960534	0.9986545130415	0.9985272492609	0.9984369613115	0.9966367552205	0.9985601393895	0.9955041387625	0.9963768014772	0.9975183246288	0.9977832555534	0.9972558804225	0.9978965582703	
50860	0.9986414312441	0.9986725102132	0.9985326784342	0.9984263760449	0.9967084278603	0.9985564424807	0.9955061790526	0.9964159984252	0.9974955670064	0.9977846882617	0.9972532628331	0.9979065888966	
61030	0.9986360147845	0.9986671049167	0.9985471145038	0.9984479966485	0.9966626885147	0.998560791883	0.9955197496234	0.9963922970811	0.9974758003876	0.997802822802	0.9972349647186	0.9979116218608	
71200	0.9986525072591	0.9986724657161	0.9985485508854	0.9984487995124	0.9966358529936	0.9985628442591	0.9955201619508	0.9964139218531	0.9975186830105	0.9977998528435	0.9972537291297	0.9979236123909	
81370	0.998644740737	0.9986749919488	0.9985461385595	0.9984402896754	0.9966896593513	0.9985683364892	0.995522250829	0.9964168146121	0.9975254575884	0.9977880190155	0.9972516959288	0.9979289677786	
91540	0.9986488024997	0.9986726060077	0.9985510467386	0.9984457298747	0.9967040373758	0.9985616541302	0.9955277661927	0.9964005494265	0.9974980294697	0.9977946585481	0.9972573165912	0.9979283899908	
101710	0.9986510489528	0.9986757326716	0.9985507649881	0.9984486435816	0.9966906810848	0.9985678087867	0.995530254108	0.9964155772975	0.9975061230465	0.9977952570382	0.997254667417	0.9979192675952	
