per_sample	CK	JXBR16	RW37	R37J16
10	0.9	0.898	0.896	0.9	
10180	0.9987120186351	0.9985465279197	0.9965170776707	0.997812151412	
20350	0.9987629578204	0.998605834264	0.9966270526233	0.9978420588111	
30520	0.9987706902978	0.9986052939524	0.9966017105857	0.9978576392764	
40690	0.9987737582249	0.998633686021	0.996655015193	0.9978675342356	
50860	0.9987799770801	0.998631707807	0.9966064893429	0.9978748903832	
61030	0.9987854408975	0.9986282655153	0.9966351270798	0.9978803707473	
71200	0.9987876070335	0.9986386361808	0.9966548983319	0.9978886729502	
81370	0.9987754152802	0.9986373510025	0.9966283353694	0.997871215693	
91540	0.9987953456236	0.9986384855285	0.9966573260379	0.9978742789428	
101710	0.9987872142436	0.9986467383168	0.9966451995139	0.9978659680451	
