Sample name	observed_species	shannon	simpson	chao1	goods_coverage

CK1	19638.0	11.9219534093	0.99865120353	63725.1433915	0.883075259303

CK2	17445.0	11.8466963077	0.998678016364	27292.5281027	0.918310966917

CK3	14250.0	11.5028878037	0.998549887277	18659.1211857	0.945838863491

JXBR161	18813.0	11.8734877715	0.998447182654	29405.8951153	0.90911861574

JXBR162	13662.0	11.3362102977	0.996698652133	21468.3520161	0.938819249865

JXBR163	17214.0	11.8612277806	0.998569930113	21936.8011839	0.933117042717

RW371	13502.0	10.6429539451	0.995544641324	24519.5319672	0.927906405152

RW372	14486.0	11.0691719669	0.996412602373	19372.8072838	0.938878238215

RW373	19830.0	11.6916250423	0.997508367539	32708.6679308	0.897507742221

R37J161	17738.0	11.4753325936	0.997798378658	30987.41471	0.904841960379

R37J162	16524.0	11.3512080178	0.997256285496	21741.0642398	0.931367055007

R37J163	13677.0	11.3756900883	0.997927060619	17643.6119632	0.949997542152
