"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",-10.8729251155479,-12.8178399864815,20.4966380006813,-7.86328762807956,-3.92842552391674
"CK2",-12.1364058093634,-27.7967480177647,-15.8103367521192,0.391153860355572,0.842027504833485
"CK3",-9.56094908950942,-1.32124557527586,12.7471229498556,10.3029730367733,8.48275563271339
"JXBR161",22.2609913755361,-0.0852754970322868,-0.31133594551753,-20.2063010711744,-0.933912564767734
"JXBR162",27.3968190050546,-5.4589918890842,2.20849886343133,14.3525277493058,-14.6872496564385
"JXBR163",21.3436399883719,-1.05702930550319,-0.849722182934775,3.74367233295891,19.4925129427072
"RW371",-6.75098597162596,7.95864175795704,-1.26325453682615,-1.54854684415247,0.0453767533645085
"RW372",-5.40790745030535,8.39142343975637,-2.89214344608604,-0.161765018263455,-3.42099831613329
"RW373",-4.61072800902061,6.27162562205402,-3.7346563133099,-3.70073349919176,-0.989379052341276
"R37J161",-7.80727259152024,8.93352925267106,-2.82984415676782,2.16742383757367,1.35791222728147
"R37J162",-7.13612757179534,8.31436925878294,-4.2884329481619,0.166924101450211,-3.65429926686554
"R37J163",-6.71814876027443,8.66754093992052,-3.47253353224484,2.35595914244422,-2.60632068043701
