	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.329776404542	0.354524129428	0.428340971536	0.4463772263	0.449871802926	0.355033271484	0.36527086668	0.368805681464	0.357436686933	0.351346986622	0.367514701103
CK2	0.329776404542	0.0	0.349012867017	0.447163544263	0.460735121432	0.456934828788	0.362376422988	0.356282072672	0.358608906773	0.351335279943	0.350870601336	0.369691890609
CK3	0.354524129428	0.349012867017	0.0	0.444213614095	0.458047943759	0.446608125452	0.353280743082	0.357387952148	0.358025078558	0.342041461878	0.359852980426	0.35557368447
JXBR161	0.428340971536	0.447163544263	0.444213614095	0.0	0.331262208829	0.318968579514	0.441132762671	0.4457980777	0.426032602876	0.428447198083	0.422017310404	0.425238289372
JXBR162	0.4463772263	0.460735121432	0.458047943759	0.331262208829	0.0	0.327728283546	0.449822376605	0.450048682908	0.443150922066	0.454520504894	0.437239115747	0.436761120054
JXBR163	0.449871802926	0.456934828788	0.446608125452	0.318968579514	0.327728283546	0.0	0.45390365461	0.455972891235	0.430088469588	0.447787919031	0.445300860448	0.434688011382
RW371	0.355033271484	0.362376422988	0.353280743082	0.441132762671	0.449822376605	0.45390365461	0.0	0.332394520846	0.3332459628	0.343781525335	0.336034654956	0.355235079338
RW372	0.36527086668	0.356282072672	0.357387952148	0.4457980777	0.450048682908	0.455972891235	0.332394520846	0.0	0.340147694192	0.33909068607	0.345852130063	0.344020695322
RW373	0.368805681464	0.358608906773	0.358025078558	0.426032602876	0.443150922066	0.430088469588	0.3332459628	0.340147694192	0.0	0.323643630587	0.340882108084	0.347735258702
R37J161	0.357436686933	0.351335279943	0.342041461878	0.428447198083	0.454520504894	0.447787919031	0.343781525335	0.33909068607	0.323643630587	0.0	0.323585462488	0.342856900847
R37J162	0.351346986622	0.350870601336	0.359852980426	0.422017310404	0.437239115747	0.445300860448	0.336034654956	0.345852130063	0.340882108084	0.323585462488	0.0	0.326440028537
R37J163	0.367514701103	0.369691890609	0.35557368447	0.425238289372	0.436761120054	0.434688011382	0.355235079338	0.344020695322	0.347735258702	0.342856900847	0.326440028537	0.0
