	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.0446736503868	0.0494527315479	0.113610739322	0.0950213242508	0.118155872972	0.0658404509842	0.0594446392765	0.0608934198165	0.0567577800325	0.0532204782549	0.0584455094801
CK2	0.0446736503868	0.0	0.0559015044512	0.104008404345	0.0838899866642	0.109366250554	0.0808602501839	0.0718393887575	0.0730486865292	0.0668344947923	0.0660578586011	0.0691150600359
CK3	0.0494527315479	0.0559015044512	0.0	0.0977040002682	0.0764855785578	0.10073026266	0.0497358784609	0.0428313734784	0.0468434390526	0.0359028881263	0.0390634684025	0.0380599916664
JXBR161	0.113610739322	0.104008404345	0.0977040002682	0.0	0.0448285224382	0.0493290335843	0.107816253189	0.105591082592	0.0969336999269	0.0944209102329	0.0993205687832	0.103638026706
JXBR162	0.0950213242508	0.0838899866642	0.0764855785578	0.0448285224382	0.0	0.0555593257568	0.0994581216526	0.0858292707857	0.0876147022302	0.0854286016463	0.0846864399667	0.0838576759718
JXBR163	0.118155872972	0.109366250554	0.10073026266	0.0493290335843	0.0555593257568	0.0	0.105385317443	0.105779950765	0.0979082354041	0.0931275171016	0.101871180382	0.105466930392
RW371	0.0658404509842	0.0808602501839	0.0497358784609	0.107816253189	0.0994581216526	0.105385317443	0.0	0.0333919346397	0.0298460638696	0.0299828172274	0.0347761250794	0.0384703598631
RW372	0.0594446392765	0.0718393887575	0.0428313734784	0.105591082592	0.0858292707857	0.105779950765	0.0333919346397	0.0	0.0331956575602	0.0341322842015	0.0312104040423	0.0272484646001
RW373	0.0608934198165	0.0730486865292	0.0468434390526	0.0969336999269	0.0876147022302	0.0979082354041	0.0298460638696	0.0331956575602	0.0	0.0254760646418	0.0328155461535	0.0374170814281
R37J161	0.0567577800325	0.0668344947923	0.0359028881263	0.0944209102329	0.0854286016463	0.0931275171016	0.0299828172274	0.0341322842015	0.0254760646418	0.0	0.0264942453201	0.0327287103157
R37J162	0.0532204782549	0.0660578586011	0.0390634684025	0.0993205687832	0.0846864399667	0.101871180382	0.0347761250794	0.0312104040423	0.0328155461535	0.0264942453201	0.0	0.0299483870485
R37J163	0.0584455094801	0.0691150600359	0.0380599916664	0.103638026706	0.0838576759718	0.105466930392	0.0384703598631	0.0272484646001	0.0374170814281	0.0327287103157	0.0299483870485	0.0
