	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.351094742154	0.360481284077	0.425753091794	0.462573787584	0.448329608129	0.388288077722	0.371917724785	0.369462784353	0.362433329034	0.36187423306	0.379743893145
CK2	0.351094742154	0.0	0.358638308814	0.458287961408	0.482862766751	0.468213597688	0.409905566565	0.371473124088	0.367453421703	0.370296199284	0.374305776374	0.387786498352
CK3	0.360481284077	0.358638308814	0.0	0.447704187747	0.46899293565	0.450517217768	0.379101027456	0.361945426857	0.361878101508	0.359288418262	0.376515475937	0.369372943217
JXBR161	0.425753091794	0.458287961408	0.447704187747	0.0	0.363419322425	0.33745491394	0.461989451637	0.447903217313	0.429494337227	0.439040258441	0.425285074667	0.432847676547
JXBR162	0.462573787584	0.482862766751	0.46899293565	0.363419322425	0.0	0.364628236832	0.469711194585	0.457309936347	0.445001175934	0.469707054342	0.456563886421	0.45303816878
JXBR163	0.448329608129	0.468213597688	0.450517217768	0.33745491394	0.364628236832	0.0	0.472056456347	0.46407453791	0.435510753721	0.457978369139	0.454161877646	0.448319324332
RW371	0.388288077722	0.409905566565	0.379101027456	0.461989451637	0.469711194585	0.472056456347	0.0	0.368799936439	0.372248719848	0.38103425467	0.387470750466	0.377719901922
RW372	0.371917724785	0.371473124088	0.361945426857	0.447903217313	0.457309936347	0.46407453791	0.368799936439	0.0	0.350830170102	0.35799584122	0.370005655946	0.365601061179
RW373	0.369462784353	0.367453421703	0.361878101508	0.429494337227	0.445001175934	0.435510753721	0.372248719848	0.350830170102	0.0	0.34639126617	0.352857255987	0.356743719692
R37J161	0.362433329034	0.370296199284	0.359288418262	0.439040258441	0.469707054342	0.457978369139	0.38103425467	0.35799584122	0.34639126617	0.0	0.350344323717	0.357863367388
R37J162	0.36187423306	0.374305776374	0.376515475937	0.425285074667	0.456563886421	0.454161877646	0.387470750466	0.370005655946	0.352857255987	0.350344323717	0.0	0.356668487602
R37J163	0.379743893145	0.387786498352	0.369372943217	0.432847676547	0.45303816878	0.448319324332	0.377719901922	0.365601061179	0.356743719692	0.357863367388	0.356668487602	0.0
