	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.0451960721624	0.049004006587	0.112989595438	0.0944728165954	0.117916651723	0.06590484373	0.0598490853856	0.0607318636386	0.0572031938259	0.0532352230251	0.0583604648282
CK2	0.0451960721624	0.0	0.0564674591751	0.103652447132	0.0835816638647	0.109485913484	0.0814306621442	0.0729720416851	0.0736621785381	0.0683215722362	0.0667462709532	0.0694373893723
CK3	0.049004006587	0.0564674591751	0.0	0.0980875439217	0.0764676754658	0.101589518163	0.0503166877058	0.0429135837389	0.0474305583247	0.0371590031952	0.0391572629406	0.0374662084255
JXBR161	0.112989595438	0.103652447132	0.0980875439217	0.0	0.0453433525045	0.0498596300447	0.108107024726	0.105622418326	0.0975948106966	0.095547933933	0.0986850148946	0.102939481099
JXBR162	0.0944728165954	0.0835816638647	0.0764676754658	0.0453433525045	0.0	0.0562191522391	0.0989692757214	0.0864101509119	0.0874544105589	0.0858784035786	0.0842447010765	0.0834322803913
JXBR163	0.117916651723	0.109485913484	0.101589518163	0.0498596300447	0.0562191522391	0.0	0.105604825935	0.106335370496	0.0988027453178	0.0935189463698	0.101638319225	0.10528281109
RW371	0.06590484373	0.0814306621442	0.0503166877058	0.108107024726	0.0989692757214	0.105604825935	0.0	0.0336679850563	0.0301953750184	0.0299071743597	0.0352010673942	0.0387845590129
RW372	0.0598490853856	0.0729720416851	0.0429135837389	0.105622418326	0.0864101509119	0.106335370496	0.0336679850563	0.0	0.0338485823133	0.0348947683233	0.0320438791722	0.0280491473234
RW373	0.0607318636386	0.0736621785381	0.0474305583247	0.0975948106966	0.0874544105589	0.0988027453178	0.0301953750184	0.0338485823133	0.0	0.0264886961608	0.0337223381016	0.0371992198791
R37J161	0.0572031938259	0.0683215722362	0.0371590031952	0.095547933933	0.0858784035786	0.0935189463698	0.0299071743597	0.0348947683233	0.0264886961608	0.0	0.0266273594848	0.0328611233348
R37J162	0.0532352230251	0.0667462709532	0.0391572629406	0.0986850148946	0.0842447010765	0.101638319225	0.0352010673942	0.0320438791722	0.0337223381016	0.0266273594848	0.0	0.0300290207934
R37J163	0.0583604648282	0.0694373893723	0.0374662084255	0.102939481099	0.0834322803913	0.10528281109	0.0387845590129	0.0280491473234	0.0371992198791	0.0328611233348	0.0300290207934	0.0
