SampleID	Raw PE	Raw Tags	Clean Tags	Effective Tags	Effective Rate(%)	Effective Bases(nt)	Avg Length(nt)	Q20 content(%)	Q30 content(%)	GC content(%)
CK1	150468	135210	133276	123182	81.87	55535701	451	97.02	93.18	55.94
CK2	217179	194810	191926	181230	83.45	81737066	451	97.02	93.14	56.20
CK3	170579	152808	150603	142680	83.64	64276433	450	97.04	93.22	56.15
JXBR161	250810	223381	219375	200645	80.00	91480099	456	97.07	93.26	56.30
JXBR162	231377	207895	204439	196428	84.90	89754441	457	97.13	93.39	55.93
JXBR163	210829	190711	187824	175432	83.21	79491226	453	97.19	93.51	56.27
R37J161	242519	217337	214335	198000	81.64	89298114	451	97.12	93.41	56.17
R37J162	196462	177210	174810	159090	80.98	71641039	450	97.15	93.50	55.89
R37J163	171767	156654	154500	144259	83.99	65097987	451	97.24	93.64	55.78
RW371	247732	224012	220803	209442	84.54	94430497	451	97.11	93.34	55.74
RW372	205188	182441	179437	166840	81.31	75371476	452	96.93	92.96	55.56
RW373	240307	217001	213751	190583	79.31	86178427	452	97.15	93.46	55.92
