Sample_Name	Unassigned	Kingdom	Phylum	Class	Order	Family	Genus	Species
CK1	1901	26	985	2071	3847	5119	5602	87
CK2	1994	19	1091	2327	4662	5975	6961	105
CK3	1364	11	1012	1607	3780	4537	6058	95
JXBR161	2604	66	868	2062	5990	5705	5682	60
JXBR162	1096	20	744	1487	4325	4578	5042	54
JXBR163	1883	41	1078	2231	4765	5412	5483	63
RW371	1373	19	1215	1714	3688	4219	6932	110
RW372	1343	19	1267	1447	3540	4440	7433	113
RW373	2757	41	1334	2231	5256	6389	8934	93
R37J161	2260	40	1297	2393	4880	5693	8158	131
R37J162	2313	15	1297	2395	3822	4702	6950	128
R37J163	1328	9	1008	1307	3233	4264	6057	99
