# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
Unassigned;Other;Other	0.0273451521686	0.0251060993554	0.0232534088737	0.0186646755567
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	0.0	4.49645342236e-06	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.00296977287694	0.00141394825886	0.00112411335559	0.000320848624807
k__Archaea;p__Miscellaneous Crenarchaeotic Group;c__	5.16482239467e-06	0.0	2.24822671118e-06	5.94164120013e-06
k__Archaea;p__Thaumarchaeota;Other	1.03296447893e-05	0.0	4.49645342236e-06	0.0
k__Archaea;p__Thaumarchaeota;c__Soil Crenarchaeotic Group(SCG)	0.000346043100443	0.0032537845475	0.00123652469115	0.00126160848149
k__Archaea;p__Thaumarchaeota;c__South African Gold Mine Gp 1(SAGMCG-1)	0.00738311361318	0.0	0.00140514169449	0.000709035849882
k__Archaea;p__Thaumarchaeota;c__terrestrial group	7.747233592e-05	0.0	5.17092143572e-05	2.57471118672e-05
k__Archaea;p__Woesearchaeota (DHVEG-6);c__	3.35713455654e-05	5.749488402e-05	8.99290684473e-06	7.92218826684e-06
k__Bacteria;Other;Other	0.000216922540576	0.00051745395618	0.000215829764273	0.000227762912672
k__Bacteria;p__Acidobacteria;Other	1.03296447893e-05	0.000127766408933	2.02340404006e-05	1.3863829467e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria	0.14170206722	0.168945522533	0.101545655864	0.0956822093399
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0224489005384	0.0202552346962	0.0216684090424	0.0192231898295
k__Bacteria;p__Acidobacteria;c__Subgroup 22	0.000180768783813	0.000677161967347	1.57375869783e-05	3.36693001341e-05
k__Bacteria;p__Acidobacteria;c__Subgroup 26	1.03296447893e-05	0.000202296814145	3.37234006677e-05	1.3863829467e-05
k__Bacteria;p__Actinobacteria;Other	2.84065231707e-05	2.34238416378e-05	2.24822671118e-06	1.18832824003e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0358464498302	0.0250677694327	0.0221023167976	0.0177595655472
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0664144511731	0.0539813077744	0.0769185804697	0.0785782048717
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	2.06592895787e-05	1.49060810422e-05	1.57375869783e-05	0.0
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0.011659586556	0.0148783983203	0.00310480108814	0.00203798293165
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0.0	8.73070461045e-05	0.0	1.98054706671e-06
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	0.0	0.000787892855089	0.0	0.0
k__Bacteria;p__Actinobacteria;c__TakashiAC-B11	4.13185791574e-05	0.0082537100171	6.07021212019e-05	6.33775061347e-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0316551964569	0.0170291328707	0.0306298407131	0.0294863847292
k__Bacteria;p__Aerophobetes;c__	0.000361537567627	0.000579207720498	0.000125900695826	0.000128735559336
k__Bacteria;p__Armatimonadetes;c__	0.00263664183248	0.00395649979664	0.00233590755292	0.0016299902359
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.00172763309102	0.000666514766603	0.000883553097494	0.00125368629323
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0.00885508799566	0.00857099659928	0.00618262345575	0.00556731780452
k__Bacteria;p__Bacteroidetes;Other	0.0	0.000127766408933	2.24822671118e-06	5.94164120013e-06
k__Bacteria;p__Bacteroidetes;c__BSV13	0.0	4.25888029778e-06	0.0	0.0
