CK	JXBR16	R37J16	RW37
S085	0.00321251952948	0.0134367673395	0.00168392180667	0.00153888507083
Deltaproteobacteria	0.0320425581365	0.0346907094656	0.0257309547095	0.0283099397716
OPB35_soil group	0.0027141141684	0.0092204758447	0.00147933317596	0.000982351345089
JG37-AG-4	0.0656293981691	1.70355211911e-05	0.0731910205825	0.0509951258737
Gitt-GS-136	0.000544888762638	0.00705057633298	0.000373205634056	0.00028915987174
Ktedonobacteria	0.0359471638669	0.00179937692581	0.0426286266707	0.0381770252579
Sphingobacteriia	0.0467519723166	0.0430274676485	0.0398340808687	0.0659264702096
Actinobacteria	0.0664144511731	0.0539813077744	0.0769185804697	0.0785782048717
Bacilli	0.00312471754878	0.00244885617122	0.00424690025742	0.00356102362595
Thermomicrobia	0.00254367502937	0.00858803212048	0.00312503512854	0.00337287165461
KD4-96	0.00687179619611	0.0216862184763	0.0100225946784	0.00607631840067
Alphaproteobacteria	0.105246168347	0.0851137227512	0.13937207028	0.160180705114
Chlorobia	0.00189548981884	0.00404806572304	0.0018098225025	0.0014101495115
Thermoleophilia	0.0316551964569	0.0170291328707	0.0306298407131	0.0294863847292
Betaproteobacteria	0.0943277338051	0.0985930788936	0.12338268191	0.129541641992
TK10	0.0160316087131	0.00756590084901	0.0117065164851	0.010896969961
Cytophagia	0.0137229331026	0.0189285934835	0.00740565878663	0.00376105887968
Gammaproteobacteria	0.0427311580823	0.0909718126008	0.0408030665812	0.0391177851146
MB-A2-108	0.011659586556	0.0148783983203	0.00310480108814	0.00203798293165
Nitrospira	0.00652575309567	0.0244523612297	0.00635124045909	0.00572972266399
Chloroplast	0.00268829005643	0.000602631562136	0.00619386458931	0.00324611664234
Caldilineae	0.00121889808514	0.00433766958329	0.0010656594611	0.000924915480154
Cyanobacteria	0.00790476067504	0.000417370269183	0.00348699962904	0.00389177498609
Acidimicrobiia	0.0358464498302	0.0250677694327	0.0221023167976	0.0177595655472
Thermotogae	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
Anaerolineae	0.0317068446809	0.0183089264002	0.0178374307265	0.00989481314529
Chthonomonadetes	0.00885508799566	0.00857099659928	0.00618262345575	0.00556731780452
Holophagae	0.0224489005384	0.0202552346962	0.0216684090424	0.0192231898295
Gemmatimonadetes	0.0261933967746	0.0521201770842	0.0449532930901	0.0625021043313
Chloroflexia	0.0105672266195	0.00763404293377	0.00824199912319	0.00647242781401
TakashiAC-B11	4.13185791574e-05	0.0082537100171	6.07021212019e-05	6.33775061347e-05
Acidobacteria	0.14170206722	0.168945522533	0.101545655864	0.0956822093399
Flavobacteriia	0.0100016785673	0.0019250138946	0.000148382962938	0.00151313795897
South_African Gold Mine Gp 1(SAGMCG-1)	0.00738311361318	0.0	0.00140514169449	0.000709035849882
Phycisphaerae	0.00204268725709	0.00685253839913	0.00139614878764	0.0015765154651
