CK	JXBR16	R37J16	RW37
Micromonosporaceae	0.0102056890519	0.00227850095931	0.0124034667656	0.0139034404083
Cytophagaceae	0.0136351311219	0.0187944387541	0.00736743893254	0.00348774338448
Roseiflexaceae	0.00710937802626	0.00557913319009	0.00753380770917	0.00589212752346
Thermotogaceae	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
Chitinophagaceae	0.0386277066897	0.0308279050355	0.0343416630133	0.0575150868173
Xanthomonadales_Incertae Sedis	0.00729531163247	0.00583466600796	0.00626355961735	0.00580498345253
Xanthobacteraceae	0.00982865701706	0.00318564246274	0.00801717645207	0.00930064902527
HSB_OF53-F07	0.0118326081062	2.12944014889e-06	0.0138940410751	0.00952048974968
Hyphomicrobiaceae	0.0037806499929	0.00822176841487	0.00525410582403	0.00481074882504
Acidobacteriaceae_(Subgroup 1)	0.0526708587808	0.000743174611963	0.0437212648523	0.0433799224022
Rhizobiales_Incertae Sedis	0.0121218381603	0.00406084236393	0.0136107645095	0.0111999936622
Xanthomonadaceae	0.00947486668302	0.0245503154766	0.0179048775278	0.0211106511841
Micrococcaceae	0.0160548504138	0.0299527051343	0.0259512809272	0.0281772431181
Gemmatimonadaceae	0.0259429028884	0.0484511517077	0.044696995245	0.0621951195359
Anaerolineaceae	0.0317068446809	0.0183089264002	0.0178374307265	0.00989481314529
Burkholderiaceae	0.0151613361396	0.000760210133154	0.025991749008	0.024788527087
Pseudomonadaceae	0.00141774374734	0.0384193591663	0.00131521262604	0.000562475366946
Flavobacteriaceae	0.00996294239932	0.00115628600085	0.000103418428714	0.000275296042273
Rhodospirillaceae	0.0070732242695	0.00571967623992	0.00727076518396	0.0044621725413
0319-6A21	0.00195746768758	0.0121591032502	0.00175361683472	0.00156067108857
Nitrosomonadaceae	0.0436195075342	0.0414431641777	0.0311244505896	0.0255787653666
o__SubsectionIII;f__FamilyI	0.00625976474234	0.000330063223078	0.00331163794557	0.00381651419755
o__Subgroup 3;f__Unknown Family	0.0403966583599	0.00645220365114	0.0162411897616	0.0134399923947
Oxalobacteraceae	0.0107557426369	0.0094951736239	0.040540024056	0.0488402906651
Nitrospiraceae	0.0041628468501	0.0121654915706	0.00457738958397	0.00415914884009
Haliangiaceae	0.00706289462471	0.00801947160072	0.00629953124473	0.00717354147563
Comamonadaceae	0.0103709633685	0.0260217586194	0.0165402039142	0.0197698208199
Bradyrhizobiaceae	0.0122018929074	0.00343478696016	0.0105014669679	0.0110653164617
Sphingobacteriaceae	0.00419383578447	0.00164605723509	0.00404680808013	0.00657541626148
Streptomycetaceae	0.00828953994345	0.00218267615261	0.00567677244573	0.00483253484277
RB41	0.00317120095033	0.0262964563986	0.00434582223271	0.00537718528612
o__Subgroup 4;f__Unknown Family	0.00261081772051	0.0193353165519	0.00500230443238	0.00551384303372
Sphingomonadaceae	0.0243134014229	0.0275805088084	0.0605672275992	0.0898633620579
Coxiellaceae	0.00478262553746	0.00666727710618	0.0065355950494	0.00527815793278
Solimonadaceae	0.00907717535863	0.00348163464344	0.00407153857395	0.00144976045283
