CK	JXBR16	R37J16	RW37
Bryobacter	0.0207780804938	0.00583253656781	0.0081026090671	0.00661898829695
Variibacter	0.00414476997172	0.00185474236968	0.00244382243505	0.00247964492752
Burkholderia	0.0114917298281	0.000125636968785	0.0179341044751	0.0198252761378
Massilia	0.00932766924477	0.00660339390171	0.0367450173676	0.0453466056394
Gemmatimonas	0.0140457345023	0.00324739622706	0.0285637203656	0.044889099267
Ramlibacter	0.00187483052927	0.00420564429406	0.00286873728347	0.00339861876648
Mesorhizobium	0.0037754851705	0.00183557740834	0.00594431142436	0.00501474517291
Aquicella	0.00450114271695	0.00613065818866	0.0063332546454	0.00509198650851
Lentzea	0.000537141529046	0.00425462141748	0.000604772985308	0.000267373854006
Reyranella	0.00344751894844	0.000939083105661	0.00499780797896	0.00511971416745
Blastocatella	0.00261081772051	0.0193353165519	0.00500230443238	0.00551384303372
Bradyrhizobium	0.0101437111831	0.00180150636596	0.00830944592453	0.0090075280594
Pseudomonas	0.00141516133614	0.0384044530852	0.00131521262604	0.000552572631612
Gaiella	0.000989063488579	0.00468263888741	0.000762148855091	0.000776374450151
Candidatus_Solibacter	0.0194817100727	0.000615408203029	0.00809811261368	0.00678931534468
Rhizomicrobium	0.0108461270288	0.000293862740547	0.0118728852617	0.0100077043281
Sphingomonas	0.0215889576097	0.0260622179823	0.0599287312133	0.0890038046309
Haliangium	0.00706289462471	0.00801947160072	0.00629953124473	0.00717354147563
Flavisolibacter	0.0100972277816	0.00596030297674	0.0167133173709	0.0377155577914
Flavobacterium	0.00955750384134	0.00112860327891	2.4730493823e-05	3.76303942675e-05
Polycyclovorans	0.00888349451883	0.00343478696016	0.00403781517328	0.0014339160763
Streptomyces	0.00735470709001	0.00216777007157	0.00513944626176	0.0043849312057
Nitrospira	0.00413444032693	0.0121654915706	0.00456839667712	0.00415914884009
Microcoleus	0.00409570415897	1.70355211911e-05	0.00161422677863	0.00248558656872
Roseiflexus	0.00710937802626	0.00557913319009	0.00753380770917	0.00589212752346
Terrimonas	0.00166307281108	0.00536405973506	0.00194246787846	0.00137648021136
Mucilaginibacter	0.00350433199478	6.60126446156e-05	0.00248204228914	0.00504247283185
Arthrobacter	0.0157707851821	0.0299441873737	0.0256185433739	0.0277395422164
Devosia	0.00142807339213	0.00417157325168	0.00346002090851	0.00266779689886
GAL15	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
Rhodanobacter	0.00361537567627	1.27766408933e-05	0.00891197068312	0.00919369948367
Lysobacter	0.000454504370731	0.0114159286382	0.00165019840601	0.00330355250727
Arenimonas	0.00039769132439	0.00548330838339	0.0012859856788	0.00140222732323
Cupriavidus	0.0023293349	9.58248067001e-05	0.00571724052653	0.00379076708568
Acidibacter	0.00632690743347	0.00275762499281	0.00569925471285	0.00510585033798
