CK	JXBR16	R37J16	RW37
Frankiales	0.0116983227239	0.00305787605381	0.012019019998	0.0115564921343
Subgroup_3	0.0410138546361	0.00718473106236	0.0164839982464	0.0135905139718
Subgroup_7	0.0190478649915	0.0173677138544	0.0196517496824	0.0177714488296
Micrococcales	0.0212532441541	0.0319054017508	0.0323452376938	0.0355864696947
Burkholderiales	0.0367167224037	0.0364943452717	0.083517125867	0.0937590981381
SC-I-84	0.00817849626196	0.00433979902344	0.0072977439045	0.00859557426952
Rhizobiales	0.0485854842667	0.0349057829206	0.0509178385548	0.0477311843077
Gemmatimonadales	0.0259429028884	0.0484511517077	0.044696995245	0.0621951195359
Subgroup_4	0.00821465001872	0.050114244464	0.0114794455873	0.0132518404234
Solirubrobacterales	0.00686404896252	0.00426952749853	0.00586337526276	0.00527815793278
Gaiellales	0.0246620269345	0.0127596053722	0.0246720399285	0.0241191021784
Subgroup_6	0.0252818056219	0.0970641408667	0.0192313312874	0.0178328457887
Chthonomonadales	0.00885508799566	0.00857099659928	0.00618262345575	0.00556731780452
Nitrosomonadales	0.0438880782987	0.0415581539457	0.0311918973909	0.0256183763079
TRA3-20	0.00172763309102	0.0121782682115	0.000503602783305	0.00061396959068
Nitrospirales	0.00652575309567	0.0244523612297	0.00635124045909	0.00572972266399
Anaerolineales	0.0317068446809	0.0183089264002	0.0178374307265	0.00989481314529
Pseudomonadales	0.00493240538691	0.0389943080065	0.0014276239616	0.000635755608414
Subgroup_2	0.0119720583108	7.24009650623e-05	0.00901314088513	0.00647242781401
Sphingobacteriales	0.0467519723166	0.0430274676485	0.0398340808687	0.0659264702096
Xanthomonadales	0.0281921830413	0.0398077541434	0.0307737272227	0.0301756151084
Acidimicrobiales	0.0358464498302	0.0250677694327	0.0221023167976	0.0177595655472
JG30-KF-AS9	0.00902294472349	0.0	0.0131656156207	0.0118654574767
Streptomycetales	0.00828953994345	0.00218267615261	0.00567677244573	0.00483253484277
Rhodospirillales	0.0224928015288	0.0110454060523	0.0211648062591	0.0161889917233
Legionellales	0.00557284336385	0.00738063955605	0.00749558785508	0.0060624545712
Ktedonobacterales	0.0238898859865	1.916496134e-05	0.0259243022066	0.0220434888525
Cytophagales	0.0137229331026	0.0189094285221	0.00740565878663	0.00376105887968
Thermotogales	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
Myxococcales	0.0227123064806	0.0182514315161	0.0188940972808	0.0204134986166
Micromonosporales	0.0102056890519	0.00227850095931	0.0124034667656	0.0139034404083
Sphingomonadales	0.026591088099	0.0341775143897	0.0619633763869	0.0916755626239
Flavobacteriales	0.0100016785673	0.0019250138946	0.000148382962938	0.00151313795897
Acidobacteriales	0.0526708587808	0.000743174611963	0.0437212648523	0.0433799224022
Chloroflexales	0.010494919106	0.00596882073734	0.00815656650817	0.00638924483721
