CK	JXBR16	R37J16	RW37
Nitrospirae	0.00652575309567	0.0244523612297	0.00635124045909	0.00572972266399
Hydrogenedentes	8.26371583147e-05	0.00106684951459	9.66737485808e-05	9.11051650687e-05
Actinobacteria	0.145666068408	0.120123848239	0.132834227003	0.127939379415
Candidate_division SR1	0.0	0.000110730887742	0.0	0.0
Saccharibacteria	0.0311154725167	0.0383938058845	0.0590069582617	0.0604007438935
Firmicutes	0.00447015378259	0.00396075867694	0.00530356681168	0.00410171297516
TM6	0.00136867793459	0.000161837451316	0.000492361649749	0.000655561079081
Parcubacteria	0.000488075716296	0.000621796523476	0.000337234006677	0.000380265036808
Candidate_division WS6	0.000113626092683	0.0	0.00145460268213	0.000287179324673
Cyanobacteria	0.0135499115524	0.00202296814145	0.0149934239369	0.0112613906213
Thermotogae	0.00427389053159	0.00785337526911	0.00562506323138	0.00344813244314
Gemmatimonadetes	0.0261933967746	0.0521201770842	0.0449532930901	0.0625021043313
Elusimicrobia	0.00250493886141	0.00178021196447	0.00125001405142	0.00120615316363
Latescibacteria	0.000609449042571	0.00411620780781	0.000236063804674	0.000184190877204
Chlamydiae	0.000258241119733	0.000144801930125	0.000179858136895	0.000134677200536
JL-ETNP-Z39	0.0	0.00094121254581	0.0	0.0
Gracilibacteria	0.000216922540576	0.00103064903206	0.000175361683472	0.000287179324673
Acidobacteria	0.164352395832	0.190207982419	0.123283759934	0.114966796128
Planctomycetes	0.00267796041164	0.00769153781779	0.00172438988748	0.00186369478977
WD272	0.0035818043307	0.0	0.00524960937061	0.00575348922879
WCHB1-60	0.00561416194301	0.00132238233246	0.00432558819231	0.00394921085102
Verrucomicrobia	0.0050357018348	0.0173953965763	0.00275182949449	0.00215681575565
Armatimonadetes	0.0132193629192	0.0131940111625	0.00940208410616	0.00845099433365
Thaumarchaeota	0.00781695869433	0.0032537845475	0.00269787205342	0.00199639144324
Chloroflexi	0.177217968417	0.097496417217	0.171461010128	0.130480421302
SHA-109	0.000544888762638	0.00237858464631	0.000568801357929	0.00045750637241
Microgenomates	0.000410603380376	0.000662255886305	0.000256297845075	0.000560494819879
Euryarchaeota	0.00296977287694	0.00141394825886	0.00112860980901	0.000320848624807
Aerophobetes	0.000361537567627	0.000579207720498	0.000125900695826	0.000128735559336
Chlorobi	0.00192647875321	0.00407574844498	0.0018098225025	0.00141213005856
SM2F11	0.00247911474944	0.000157578571018	0.000935262311852	0.000954623686155
Bacteroidetes	0.0710498792723	0.0646860034028	0.0475454984881	0.0713155387781
Fibrobacteres	0.000408020969179	0.0004791240335	0.000121404242404	6.53580532015e-05
Spirochaetae	0.000245329063747	0.000104342567296	1.34893602671e-05	1.98054706671e-06
Proteobacteria	0.274964814647	0.310197675929	0.329740667049	0.357581831254
