CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
S085	0.00260531878287	0.00392039939862	0.00282289280045	0.0191581271914	0.00852566212949	0.0132862792645	0.00163701472176	0.00160636205816	0.00183017794251	0.00119652852668	0.0012777766686	0.00220110055028
Deltaproteobacteria	0.0310377033869	0.036260522593	0.027642454431	0.0327760881778	0.0396596546596	0.0305129759533	0.0278121980333	0.0185992234716	0.0305285984528	0.0225799825399	0.0328162330878	0.0310530265133
OPB35_soil group	0.00344098707172	0.00275950443107	0.00208002627402	0.00733523171196	0.0136285717529	0.00572298721169	0.00137554709259	0.00170000648308	0.00138416819181	0.00101165716633	0.000752024810164	0.00116308154077
JG37-AG-4	0.0824853758049	0.0663676674892	0.0513125278575	6.45707016898e-06	5.67620647769e-06	4.33012903785e-05	0.0723583243335	0.101229623333	0.0443856600175	0.0562317054383	0.0493873992586	0.0461293146573
Gitt-GS-136	0.000530895148208	0.000456745561004	0.000664670049968	0.00964040576229	0.00488721377729	0.00690655581536	0.000460410390496	0.00036737428236	0.000261453991787	0.000364607405125	0.000252893298993	0.000231365682841
Ktedonobacteria	0.0404660079634	0.0307224826659	0.0387932719752	0.00171758066495	0.00173691918217	0.00197020871222	0.047592792588	0.0464116176714	0.0318743175282	0.0461818928773	0.0304936077891	0.0356490745373
Sphingobacteriia	0.049196283734	0.0394704288968	0.0537835365138	0.0442955013592	0.0432299885341	0.0413527323114	0.0400045472631	0.0389200636782	0.04057919749	0.0680069840292	0.0639487292112	0.0652513756878
Actinobacteria	0.0409969031116	0.0624345807139	0.091536795352	0.0468137587251	0.0434456843802	0.0753875465489	0.0908656852157	0.062784985197	0.0731379092908	0.0960971601705	0.0604215331989	0.0743059029515
Bacilli	0.00192695276016	0.00343827908423	0.00369087368923	0.00317687852314	0.00198099606071	0.00223001645449	0.00395043483204	0.0037025564928	0.00522907983575	0.00453961895959	0.00409953347841	0.00186343171586
Thermomicrobia	0.0019662783267	0.00152248520335	0.00426170796744	0.00856853211424	0.00880379624689	0.00833549839785	0.00285909168419	0.00272289173984	0.00391412005352	0.00441123607046	0.00278848137574	0.00265757878939
KD4-96	0.00598731750479	0.00852591713874	0.00553631053385	0.0200298316642	0.0143040403238	0.0329234144511	0.0096970385949	0.0116119086895	0.00876639854816	0.00278847635187	0.00454542429506	0.0115182591296
Alphaproteobacteria	0.0927395172787	0.0950728572607	0.127733944308	0.0828377531979	0.0874306083758	0.0847117577437	0.126328653442	0.127183535869	0.170029682718	0.156509012479	0.19066158218	0.136011755878
Chlorobia	0.00131740647889	0.00303228303	0.000953997012895	0.00225997455914	0.00329787596354	0.00700037527785	0.00201216392884	0.00162076889276	0.00173790006306	0.00155600061624	0.00134432753675	0.0012943971986
Thermoleophilia	0.0226416949319	0.0255143145328	0.0463939694877	0.0154323977039	0.0182376514128	0.017277214861	0.0305121355084	0.0312916447563	0.0300825887021	0.0330714322395	0.0291958658601	0.0253939469735
Betaproteobacteria	0.0911370004424	0.1009851748	0.088659165018	0.0927041564161	0.116538195193	0.0823590542998	0.128977434207	0.113871620697	0.125966995278	0.118831202177	0.134818748711	0.137625062531
TK10	0.0170378017008	0.0157006286595	0.0156392952934	0.00674763832659	0.00931465482988	0.00625703645969	0.0123401352811	0.0132470844168	0.00920471847557	0.0111179581985	0.0100558361784	0.0114182091046
ML635J-21	0.000973307771715	0.00119895709764	0.00156392952934	0.000652164087067	0.000499506170036	0.00128460494789	0.00236457682033	0.003061452353	0.00564433029329	0.00310173060135	0.00146411909943	0.00165082541271
Cytophagia	0.0221107997837	0.01136154583	0.00996223110187	0.0145413220205	0.024560945429	0.0166709967957	0.00675836980617	0.00639663456344	0.00935851494133	0.00155600061624	0.00594299252634	0.00439594797399
Gammaproteobacteria	0.0429140244802	0.0495315186156	0.0342031388066	0.0786923141494	0.145015723092	0.0359833723045	0.0302904564315	0.0434798268298	0.0521677611848	0.0316335438813	0.051104411657	0.0369684842421
