CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Micromonosporaceae	0.00962493240918	0.0100991518489	0.0107989334001	0.00215020436627	0.00129417507691	0.00367339280044	0.0118854089695	0.0108195327864	0.0147952200058	0.0140656293329	0.0110208237666	0.0164144572286
Pseudonocardiaceae	0.00317553949762	0.00277219180776	0.00993095251128	0.00199523468222	0.00571593992303	0.00949019947461	0.00701983743534	0.00348645397377	0.00535980683164	0.00735377188928	0.00411949873886	0.00290145072536
Cytophagaceae	0.0219043405594	0.0112917652582	0.00994659180657	0.0144638371785	0.0244701261253	0.0164184059352	0.0067299494117	0.00636061747693	0.00930468617831	0.00150464746059	0.00511110667439	0.0043771885943
Roseiflexaceae	0.00445362040997	0.00657206112778	0.0098840346254	0.0036224163648	0.00443879346555	0.00921595796888	0.00783266071733	0.00735468906449	0.00732071177004	0.00502233862271	0.00552372205695	0.00729739869935
Thermotogaceae	0.00633141621196	0.00387599358019	0.00312785905867	0.0048298884864	0.00480207068012	0.0151121503421	0.00819075768772	0.00522247754335	0.00258378062472	0.00282955887639	0.0040928783916	0.00359554777389
Chitinophagaceae	0.0385685493782	0.032130781479	0.0466832964507	0.0362758202093	0.0280177551739	0.0283118270258	0.0357414880919	0.0347853021473	0.0319742852309	0.0589226107944	0.055762972428	0.0574474737369
Xanthobacteraceae	0.00919235117731	0.0103592430711	0.00968072378659	0.00264739876928	0.00357601008094	0.00329089806876	0.00777581992838	0.00759240183543	0.00879715784131	0.00761053766754	0.0105682778632	0.0101675837919
HSB_OF53-F07	0.0131249078307	0.0106827711768	0.0122221092718	0.0	0.0	7.21688172974e-06	0.0150400727562	0.017100912673	0.00892019501392	0.011631489755	0.00730728532354	0.00902951475738
Intrasporangiaceae	0.00140588900359	0.00455476823335	0.00571616242972	0.000865247402644	0.000681144777322	0.00119078548541	0.00621269823225	0.00363772573709	0.00436012980422	0.0093103271196	0.00270862033395	0.00568409204602
Hyphomicrobiaceae	0.00300840583985	0.00392674308697	0.00421479008156	0.00526896925789	0.00707822947768	0.0129759533501	0.00520093218894	0.0043004401288	0.00634410421249	0.00327633133056	0.00666839698924	0.00493371685843
Acidobacteriaceae_(Subgroup 1)	0.0698618689476	0.0549807469059	0.0361502310706	0.000774848420278	0.000777640287443	0.000663953119136	0.0450576934008	0.0467717885365	0.0386567416681	0.0462024341396	0.0288165259116	0.0536268134067
Rhizobiales_Incertae Sedis	0.0120041291845	0.0105685847866	0.0141301032975	0.00413898197832	0.0036895342105	0.00444559914552	0.0126016029102	0.014399631185	0.0141338952031	0.00929492117291	0.0146079155603	0.0103176588294
Xanthomonadaceae	0.00992970554982	0.00806282788939	0.0108536709336	0.0218765537325	0.0286988999512	0.0222640801363	0.0101062922753	0.0222081355395	0.0238615216622	0.0186514661326	0.0266469676097	0.0189032016008
