CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Bryobacter	0.0237034852283	0.0224566567494	0.0163821618198	0.00644415602864	0.00413795452223	0.0073034843105	0.00899789689081	0.00759240183543	0.00743605911936	0.00597750731782	0.0066950173365	0.00732866433217
Mycobacterium	0.00125841812909	0.0017572016722	0.00573962137266	0.000348681789125	0.000550592028336	0.000801073872001	0.00263172852839	0.00146949712944	0.00184555758909	0.00149437682946	0.00139756823128	0.00123811905953
Burkholderia	0.00667551491914	0.00957262571604	0.0176880429768	0.00012914140338	0.00014758136842	9.38194624866e-05	0.0195304950833	0.0131030160708	0.0209316989896	0.0297386124377	0.0201249825304	0.00747248624312
Massilia	0.00507299808288	0.00903341220653	0.0130744508652	0.00815527962342	0.00483612791899	0.00711584538553	0.0401125447621	0.0393018447952	0.0294597130158	0.0382272890669	0.0427123471826	0.0564907453727
Gemmatimonas	0.0137246227203	0.0141908308329	0.0141222836499	0.00120101505143	0.00319002804046	0.00560751710401	0.028642073552	0.0298221476268	0.027114316913	0.0432855748986	0.0474840444294	0.0444034517259
Mesorhizobium	0.00262498156614	0.00310840729017	0.00551285159091	0.00121392919177	0.00199234847367	0.00233105279871	0.00635480020463	0.00527290146445	0.00610571969056	0.0056128999127	0.00623581634622	0.00313906953477
Aquicella	0.00397188221993	0.00513204387295	0.00414441325274	0.00555308034532	0.00945088378535	0.00255477613233	0.00427442732905	0.00712417971085	0.00827424985774	0.00364607405125	0.0059696128736	0.006028014007
Reyranella	0.00281177800718	0.00334312375902	0.00408185607157	0.000787762560616	0.00101604095951	0.00101036344216	0.00470073324618	0.0049127305994	0.00549053382753	0.00594669542443	0.00523089823707	0.00400825412706
Lentzea	0.000157302266136	0.000291809663975	0.00114166855641	0.00133661352498	0.00502911893923	0.00653127796542	0.000755982493037	0.000302543526649	0.000722843389059	0.000184871360345	0.000366029774858	0.000275137568784
Blastocatella	0.00231037703387	0.00205535502452	0.0035344807363	0.0234972783449	0.0123741301214	0.0235342513207	0.00383675325414	0.00593561585616	0.00558281170699	0.00280901761413	0.00549710170969	0.00882316158079
