CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Frankiales	0.00947746153468	0.0103782741361	0.0150919199581	0.001872550349	0.00325246631171	0.00413527323114	0.0133291650088	0.0100847842216	0.0123114070839	0.0138653520259	0.0113402679338	0.00894822411206
Subgroup_3	0.0480656736961	0.043054612813	0.0328894380019	0.00829733516714	0.0052902244372	0.00834993216131	0.0193997612687	0.0143131901774	0.0148567385921	0.0127047707082	0.0140954738755	0.0141945972986
Subgroup_7	0.0163299415032	0.0164301528195	0.0244363988959	0.0165559279133	0.0179765459148	0.0175009381946	0.024418802933	0.0131750502438	0.020116577721	0.018918502542	0.0149739453351	0.0190032516258
Micrococcales	0.00772747382392	0.024112359408	0.0284869763768	0.0317816993717	0.0220123287205	0.044621979735	0.0402319104189	0.0285975666856	0.0256763199582	0.0435423406768	0.0228136376039	0.0379002001
Burkholderiales	0.0268888561176	0.036679206024	0.0445798112337	0.0322530654941	0.0405110856313	0.0361277099391	0.0866367305178	0.081153699315	0.0818197197828	0.0889950187439	0.099180758813	0.0944659829915
Rhizobiales	0.0426092513395	0.0443740999892	0.0585300626354	0.0284885935855	0.0331206647973	0.0443477382293	0.0494685386233	0.0486662872867	0.0552821396164	0.0402249268218	0.0604348433725	0.0449349674837
Gemmatimonadales	0.0236838224451	0.0265927415518	0.0269386861428	0.0505136599319	0.0474020002952	0.0474798649	0.0437503552549	0.0437967771911	0.0469386813491	0.061844605351	0.0654927093524	0.0595235117559
Subgroup_4	0.00716708450081	0.00789154830401	0.00944613435719	0.0608837146233	0.0317356704167	0.061444531047	0.0101858693799	0.0127572520404	0.0118653973332	0.00736404252041	0.00965653096945	0.0237993996999
Solirubrobacterales	0.00374576021236	0.00482120314393	0.01186240548	0.00306710833027	0.00466584172466	0.00510955226466	0.00612743704883	0.00543137664508	0.00596730287138	0.00570533559287	0.00517765754254	0.00485242621311
Subgroup_6	0.0207540677383	0.0315979116578	0.0210974093507	0.127669191381	0.089678386141	0.0722482029965	0.0212072983573	0.0151487865844	0.020916319343	0.0116623016484	0.0131837269817	0.0297148574287
Gaiellales	0.0187681266283	0.0205598939335	0.0344064496454	0.0123652893736	0.0135718096881	0.0121676625963	0.0243164895129	0.0257306065998	0.0240230079513	0.0273044728599	0.0239383472757	0.0204102051026
Chthonomonadales	0.00897606056137	0.00902072482983	0.00855469452546	0.0103313122704	0.00950764585013	0.00541266129731	0.00842948900131	0.0049127305994	0.0044985466234	0.00557695270374	0.00565682379327	0.00547148574287
Nitrosomonadales	0.0470727031411	0.0481739693092	0.0360720345941	0.038174198839	0.0500471125138	0.0345472128403	0.0347297220485	0.0232166139617	0.0349194875502	0.0210599291326	0.0255222579379	0.0312593796898
TRA3-20	0.00163201101116	0.00195385601096	0.0015248312911	0.015897306756	0.013225561093	0.00669004936347	0.000426305917126	0.000425001620769	0.000692084095907	0.000328660196169	0.000765334983795	0.00081915957979
Nitrospirales	0.00644939291157	0.00860838508726	0.00401929889039	0.0326534038445	0.0231645986354	0.0169235876562	0.00658784743932	0.00601485344647	0.00639024315221	0.00591074821548	0.00636891808254	0.00490870435218
WD2101_soil group	0.00172049353586	0.00222029092155	0.00151701164346	0.0038096713997	0.00508020479753	0.0117923847464	0.00134712669812	0.00141907320833	0.00117654296304	0.00175627792328	0.00100491810916	0.00169459729865
Anaerolineales	0.0282652509463	0.0358545265388	0.0293314983227	0.0149481174412	0.0167050756638	0.0241043849773	0.0190359802194	0.013729713376	0.0206010365882	0.00472449031993	0.00931046645503	0.0167396198099
Pseudomonadales	0.00310671975618	0.00940768981901	0.000867980888781	0.0280817981649	0.0769580074245	0.00292283710055	0.0018189052464	0.000777969068526	0.00159179342059	0.000344066142864	0.00077199007061	0.000862931465733
Subgroup_2	0.0193088531682	0.0122686932636	0.00577089996325	0.000109770192873	1.70286194331e-05	0.000101036344216	0.00907747399534	0.0113093651628	0.00647483120838	0.00521748061418	0.00563685853282	0.00878564282141
Sphingobacteriales	0.049196283734	0.0394704288968	0.0537835365138	0.0442955013592	0.0432299885341	0.0413527323114	0.0400045472631	0.0389200636782	0.04057919749	0.0680069840292	0.0639487292112	0.0652513756878
Xanthomonadales	0.0304379884973	0.0292761217227	0.0250697903552	0.0379094589621	0.051511573785	0.0270488727231	0.0221679076906	0.0334094494428	0.0396025899325	0.025661171879	0.037967270283	0.0283516758379
Acidimicrobiales	0.0281865998132	0.0344842898558	0.0436179945732	0.0165430137729	0.023919534097	0.0360555411218	0.0230432558404	0.0192835481152	0.0238384521924	0.018918502542	0.0171634688975	0.0169084542271
JG30-KF-AS9	0.010863687755	0.00847516763196	0.00823408897195	0.0	0.0	0.0	0.0168817143182	0.0106106336846	0.0108657203057	0.0100960304011	0.0131171761136	0.012843921961
Streptomycetales	0.00581035245539	0.00563953894073	0.0135279904288	0.00218894678728	0.00231021603642	0.0020135100026	0.00689478769965	0.00337840271425	0.00648252103167	0.00659888050121	0.00452545903461	0.00297023511756
Rhodospirillales	0.0221992823084	0.0217461636545	0.0236466144836	0.00993097391989	0.0129474269756	0.00987269420629	0.0178821122037	0.0174898972072	0.0295289214254	0.0142967185334	0.0203845309162	0.0145510255128
Legionellales	0.00459125989284	0.00567760107081	0.00622443952675	0.00656038329169	0.0109834595343	0.00371669409082	0.00539419087137	0.00830554014825	0.00947386229064	0.00477584347558	0.00706770219818	0.00668459229615
Ktedonobacterales	0.0269773386423	0.0200079930473	0.0262192785593	2.58282806759e-05	0.0	3.60844086487e-05	0.0272153697493	0.0317454600462	0.0179634272004	0.0302829558876	0.0143749875217	0.019215857929
Cytophagales	0.0221107997837	0.01136154583	0.00996223110187	0.0145284078802	0.0245268881901	0.016663779914	0.00675836980617	0.00639663456344	0.00935851494133	0.00155600061624	0.00594299252634	0.00439594797399
Thermotogales	0.00633141621196	0.00387599358019	0.00312785905867	0.0048298884864	0.00480207068012	0.0151121503421	0.00819075768772	0.00522247754335	0.00258378062472	0.00282955887639	0.0040928783916	0.00359554777389
Myxococcales	0.0224745612741	0.0256031261696	0.0193379886302	0.0133144786884	0.0221201766435	0.0188504950781	0.0207809924402	0.0139962398162	0.0215699543224	0.0154008113799	0.0240980693593	0.0230552776388
Micromonosporales	0.00962493240918	0.0100991518489	0.0107989334001	0.00215020436627	0.00129417507691	0.00367339280044	0.0118854089695	0.0108195327864	0.0147952200058	0.0140656293329	0.0110208237666	0.0164144572286
Sphingomonadales	0.0202035098068	0.0206550492587	0.0389887631663	0.0410088526432	0.0343978112548	0.0262622326145	0.0549423065992	0.0560858071069	0.077736423617	0.0979047912494	0.104930753822	0.071635817909
Flavobacteriales	0.0332006095463	0.00274681705437	0.000492637801741	0.0027055124008	0.0020093770931	0.000945411506596	0.000130733814585	0.000216102519035	9.99677027422e-05	2.05412622606e-05	0.0043058411697	0.000706603301651
Acidobacteriales	0.0698618689476	0.0549807469059	0.0361502310706	0.000774848420278	0.000777640287443	0.000663953119136	0.0450576934008	0.0467717885365	0.0386567416681	0.0462024341396	0.0288165259116	0.0536268134067
