CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Nitrospirae	0.00644939291157	0.00860838508726	0.00401929889039	0.0326534038445	0.0231645986354	0.0169235876562	0.00658784743932	0.00601485344647	0.00639024315221	0.00591074821548	0.00636891808254	0.00490870435218
Hydrogenedentes	3.93255665339e-05	8.24679485146e-05	0.0001172947147	0.000858790332475	0.00121470818622	0.00111139978638	3.97885522651e-05	7.92375903128e-05	0.000192245582197	2.56765778257e-05	8.65161286029e-05	0.000175087543772
Actinobacteria	0.100781595635	0.13867937096	0.189978339576	0.0940536840814	0.106207499404	0.166955341936	0.148837605866	0.116169510816	0.128973716184	0.150968006984	0.108018714104	0.118615557779
Candidate_division SR1	0.0	0.0	0.0	1.2914140338e-05	0.000283810323884	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharibacteria	0.029936587524	0.0225835305163	0.0425701617885	0.0352426889823	0.0192593685788	0.0662437573973	0.0481157278463	0.0669341535625	0.0652789098906	0.0678375186155	0.0678352999115	0.0443596798399
Firmicutes	0.00311655114781	0.00555707099222	0.00420697043391	0.00592113334496	0.00312758976921	0.00282901763806	0.0057011311317	0.0042932367115	0.00584426569877	0.00515072151184	0.00452545903461	0.00242621310655
TM6	0.00121909256255	0.001972887076	0.000742866526434	0.000206626245407	0.000192991020241	7.21688172974e-05	0.000477462627181	0.000446611872672	0.000561357100014	0.000626508498947	0.00111805458502	0.000256378189095
Parcubacteria	0.000521063756575	0.000317184417364	0.000672489697614	0.000581136315208	0.000448420311737	0.000887676452758	0.000397885522651	0.00030974694395	0.000284523461651	0.000580290658861	0.000179687344021	0.000325162581291
Candidate_division WS6	0.000137639482869	5.07495067782e-05	0.000172032248227	0.0	0.0	0.0	0.000238731313591	0.000230509353637	0.00440626874394	5.13531556514e-06	0.000485821337539	0.000443971985993
Cyanobacteria	0.00723590424225	0.0166268071582	0.0147791340522	0.00169820945444	0.00179935745343	0.00267024624	0.00762234979822	0.0264365414953	0.0127497270113	0.0176962974375	0.00741376671259	0.00704102051026
Thermotogae	0.00633141621196	0.00387599358019	0.00312785905867	0.0048298884864	0.00480207068012	0.0151121503421	0.00819075768772	0.00522247754335	0.00258378062472	0.00282955887639	0.0040928783916	0.00359554777389
Gemmatimonadetes	0.0238509561028	0.0267703648255	0.0273453078204	0.0536130536131	0.0529419778174	0.0494067723218	0.0438299323595	0.0439480489544	0.0475461773888	0.0620756945514	0.0657988433459	0.0599237118559
Elusimicrobia	0.00274295826574	0.00336215482406	0.00125896327112	0.00208563366458	0.0019072053765	0.00127738806616	0.00104587051668	0.00152712446785	0.00123037172606	0.00117598726442	0.000905091806923	0.00152576288144
Latescibacteria	0.000521063756575	0.00109745808408	7.81964764668e-05	0.00479760313555	0.00504047135219	0.00217949828238	0.000227363155801	0.000194492267132	0.000292213284939	8.73003646074e-05	0.000159722083575	0.000325162581291
Chlamydiae	0.000206459224303	0.000336215482406	0.000203310838814	0.000213083315576	8.51430971653e-05	0.000144337634595	0.000119365656795	0.000136864928722	0.000307592931514	9.24356801725e-05	0.000186342430837	0.000137568784392
JL-ETNP-Z39	0.0	0.0	0.0	0.00153678270022	0.000783316493921	0.000476314194163	0.0	0.0	0.0	0.0	0.0	0.0
Gracilibacteria	4.91569581674e-05	0.00041868343092	0.000101655419407	0.00100730294636	0.000471125137648	0.00176813602379	0.000227363155801	0.000201695684433	7.68982328786e-05	0.000184871360345	0.000512441684802	0.000200100050025
Acidobacteria	0.186078749447	0.172522948293	0.13700022677	0.233138975521	0.160869367784	0.179527149909	0.132490194964	0.117566973772	0.116931452915	0.103861757305	0.0889785107247	0.152907703852
Planctomycetes	0.00233987120877	0.00313378204356	0.00238499253224	0.00486217383724	0.00619841747363	0.0127522300165	0.00184164156198	0.00175043040418	0.00153796465757	0.00218250911519	0.00131105210267	0.00199474737369
WD272	0.00489603303348	0.00223297829824	0.00419915078627	0.0	0.0	0.0	0.00523503666231	0.0049559511032	0.00558281170699	0.0093257330663	0.0037933994849	0.00324537268634
WCHB1-60	0.00468957380917	0.00635003203563	0.00544247476209	0.000154969684056	0.00163474746557	0.00223001645449	0.00446768601148	0.00461018707275	0.00382953199735	0.0040517639809	0.00478500742042	0.00303901950975
Verrucomicrobia	0.00556456766455	0.00529697976998	0.00429298655803	0.0141086983192	0.0234540851658	0.0133656649635	0.00295572102541	0.00280933274746	0.00241460451239	0.00250089868022	0.00165046153027	0.0022136068034
Armatimonadetes	0.0127808091235	0.0124843786674	0.014474167794	0.0140376705474	0.014888689591	0.0100964175399	0.0119763542318	0.00793816586589	0.00748219805909	0.0085451651004	0.00864495777347	0.00815407703852
Thaumarchaeota	0.0100575136411	0.011088767231	0.00200182979755	0.00364824464547	0.00351924801617	0.0024753904333	0.00233615642585	0.00388264192533	0.00192245582197	0.00220305037745	0.00290827293842	0.000887943971986
Chloroflexi	0.186825935211	0.178492359027	0.168005129689	0.0973532469377	0.0820155073961	0.117339280044	0.17751946797	0.201018563206	0.131711293274	0.135284753248	0.117069632173	0.137231115558
SHA-109	0.000570220714742	0.000628025146381	0.000422260972921	0.00122684333211	0.00252023567609	0.00348575387547	0.000721878019667	0.00055466313219	0.000376801341105	0.000657320392338	0.000279513646256	0.00038144072036
Microgenomates	0.000688197414344	0.00044405818431	0.000148573305287	0.000684449437912	0.000630058919023	0.000678386882596	0.000164838287955	0.000396187951564	0.000230694698636	0.000970574641812	0.000399305208936	0.000212606303152
Euryarchaeota	0.00145504596176	0.00359052760456	0.00340936637395	0.00103313122704	0.00175962400808	0.00140007505557	0.00114818393679	0.000835596406935	0.00141492748497	0.000272171724952	0.00033275434078	0.000368934467234
Aerophobetes	0.000255616182471	0.000482120314393	0.000297146610574	0.000393881280308	0.000681144777322	0.000656736237407	0.000233047234696	7.20341730117e-05	3.84491164393e-05	8.73003646074e-05	0.000146411909943	0.000162581290645
Chlorobi	0.00139605761195	0.00305765778339	0.000953997012895	0.00231808819066	0.00331490458297	0.00700759215958	0.00201216392884	0.00162076889276	0.00173790006306	0.00155600061624	0.00134432753675	0.00130065032516
SM2F11	0.00245784790837	0.00349537227935	0.00124332397582	0.000180797964731	0.000187314813764	9.38194624866e-05	0.000727562098562	0.000965257918356	0.00118423278633	0.000570020027731	0.00153732505441	0.000875437718859
Bacteroidetes	0.10454701863	0.0548538731389	0.0643713394274	0.0622655276395	0.0708901426998	0.0595031898617	0.0469789120673	0.0457344964451	0.0502453053629	0.0696246084322	0.0743705951644	0.070504002001
Fibrobacteres	0.000245784790837	0.000551900886213	0.000359703791747	0.000432623701322	0.000584649267202	0.000396928495136	0.000198942761326	6.48307557105e-05	7.68982328786e-05	7.1894417912e-05	5.98957813405e-05	6.25312656328e-05
Spirochaetae	0.00019662783267	0.000425027119268	6.25571811734e-05	4.51994911829e-05	0.000204343433197	4.33012903785e-05	1.136815779e-05	0.0	3.07592931514e-05	0.0	6.65508681561e-06	0.0
Proteobacteria	0.25826082682	0.282744533327	0.278660963537	0.288224241133	0.389285592653	0.234202245894	0.313817995794	0.303602428992	0.379185186324	0.329641041442	0.409840211366	0.342502501251
