#Length	Count
398	3
384	14
443	8
386	61
331	57
358	89
407	124
445	11
366	29
376	37
329	28
437	17
424	3
368	63
451	1
316	3
395	2474
343	2866
347	399
441	13
413	9
434	10
397	12
349	338
292	2
325	2
378	122
350	1043
374	30
442	4
429	12
431	6
382	36
337	1215
432	6
409	355
284	6
340	649
311	115
371	12
389	27
346	275
435	2
401	1
327	10
427	16
333	152
339	1175
418	30
471	1
361	251
348	1102
345	130
319	36
285	1
404	1
412	4
446	1
385	5
282	11
307	4
314	3
420	29
352	1621
344	96
364	24
388	389
355	1681
369	32
326	8
448	6
367	36
483	3
335	129
357	383
372	52
391	5
428	26
336	664
460	3
324	16
457	2
433	259
383	10
351	491
297	3
410	11
359	275
334	166
440	34
430	8
377	21
447	10
379	102
414	97
477	7
415	51
423	87
452	1
342	7695
330	229
295	1
480	1
341	1128
394	145
438	30
467	2
360	222
419	36
444	5
422	4550
304	2
476	1
406	3
417	21
258	1
396	120
482	2
302	2
312	24
393	64
405	6
293	1
274	2
365	13
370	107
470	5
309	5
402	2
315	1
353	1726
375	859
416	3
338	258
380	147
300	11
403	23
466	1
283	2
303	1
484	1
381	252
305	1
421	302
392	9
450	1
373	9
387	57
328	13
464	1
363	87
354	51929
399	16
318	5
301	1
436	12
332	114
390	4
425	3
356	182
408	13
362	52
439	269
411	4
478	1
