#Base	Mean
1	27.658022956623295
2	32.169592510812244
3	30.079499625905584
4	30.163862479242322
5	30.294111206408875
6	34.30116425482217
7	30.077957626963997
8	33.45707950875016
9	34.71916458329532
10	33.87092830161134
11	31.340562783992407
12	31.489835580941257
13	35.81807149765507
14	31.687841018996696
15	36.68181901129583
16	31.52125951203489
17	30.665194620339786
18	32.438758006532964
19	35.5795908684465
20	33.20129929378273
21	36.844349349440684
22	30.96154126900126
23	36.185085494260846
24	37.52703516487527
25	38.368592492563735
26	35.26844467964744
27	32.8883556269275
28	35.29558933557182
29	32.094600266428216
30	34.98676070731218
31	36.43485282578149
32	37.11447289184109
33	32.03489114764868
34	31.541387616562346
35	31.61950035584591
36	32.43837478786109
37	33.55874194784576
38	36.124965784047156
39	36.422416467453786
40	38.08571324294239
41	38.23290570995821
42	38.60315881676673
43	33.203188014379826
44	35.80058030256026
45	34.71412799503641
46	37.58122410992901
47	33.606306684428546
48	37.14160842351138
49	38.20029562583259
50	37.518075147356704
51	37.31382871950218
52	36.801310242887645
53	35.3732093651344
54	32.420983959561305
55	32.77527874596252
56	34.96406868738481
57	31.78901074837132
58	35.29601817551415
59	31.81144728918411
60	34.69646343911385
61	37.135458676253215
62	32.47471669191044
63	34.5504844978923
64	32.207823135458675
65	35.09895253563021
66	31.69538677713097
67	35.75965802295662
68	35.597392288180444
69	34.57772952061169
70	34.44290954214493
71	33.09808573149145
72	36.274494060110584
73	37.329422069745796
74	37.95605759229183
75	38.16076023285096
76	34.0912242924141
77	36.824896439716056
78	37.78241391266264
79	37.30609135203197
80	37.24080731400208
81	34.80465884413949
82	36.26655595905035
83	36.42954250989982
84	37.572337086443184
85	35.29286118359824
86	36.83155714520338
87	36.22929250533769
88	33.46356685340973
89	34.85246993558277
90	33.599572984908484
91	32.80827204876002
92	31.797414186390263
93	34.74753188926805
94	34.99946166900856
95	37.160395262687274
96	37.0409679008741
97	38.179711308600524
98	38.37878428438475
99	35.4821529589956
100	37.26539717878063
101	29.02208069490319
102	35.816565995729846
103	36.72184711399843
104	37.09807660723736
105	37.325106297560176
106	37.698197047391375
107	34.45748097593022
108	37.32492381247833
109	37.302131425755945
110	37.60042154053906
111	36.46013613387105
112	36.47115823281447
113	36.35389331922115
114	36.515675468530446
115	37.70512235624738
116	37.61580503293856
117	37.85520721181044
118	37.8080530666618
119	36.586233325425646
120	37.13867041369368
121	37.34307195386777
122	37.78421139071881
123	37.77278782459534
124	37.84190404934397
125	38.0851110421723
126	38.17290461504772
127	38.37607438091936
128	38.17237540831037
129	37.85776200295626
130	38.04796620376284
131	37.953694410481944
132	37.83914852460811
133	38.08075877297031
134	38.118989397616744
135	37.61778499607657
136	37.82021569736674
137	37.72837095567437
138	37.26338984288034
139	37.72081607328601
140	37.42894943338382
141	36.26533330900199
142	37.47624044234384
143	37.41341995291885
144	37.671052391467
145	37.537546305589515
146	37.62959178087191
147	37.380837241555504
148	37.387780798919685
149	37.322852606799394
150	37.43748973521414
151	37.3300060220077
152	37.65048632274311
153	37.54279275169255
154	37.38003430719539
155	37.27191189620248
156	37.46429679373711
157	37.24347159619701
158	37.17451048376795
159	37.181563532181244
160	37.35969634482381
161	37.569389952371395
162	37.65129838135732
163	37.65119801456231
164	37.505556670742166
165	37.38317305060311
166	37.62039453274695
167	37.78263289476085
168	37.85752477234986
169	37.71059690870271
170	37.264503001879596
171	37.68859833208635
172	37.6674118140842
173	37.852889651271006
174	37.75071625394624
175	37.713461924487675
176	37.70598916038614
177	37.564955564882574
178	37.617082428511466
179	37.69039581014252
180	37.71502217193744
181	37.44230734137484
182	37.56565813244767
183	37.36690450555667
184	37.66455592255333
185	37.66742093833829
186	37.56546652311174
187	37.524307012901694
188	37.56876950309312
189	37.862844212485626
190	37.601224474899176
191	37.672813372506795
192	37.80894724356284
193	37.67825142794577
194	37.77316191901312
195	37.81315352469936
196	37.63230168433731
197	37.74532381977773
198	37.82406613259366
199	37.77070749466231
200	37.67343382178507
201	37.398237194109385
202	37.11044909578642
203	37.239557291191446
204	37.49651453493677
205	37.437444113943684
206	37.61709155276556
207	37.66836986076388
208	37.65746637712367
209	37.552929797989016
210	37.45472545119436
211	37.249885946823845
212	37.26911987445026
213	37.61607876056132
214	37.62841475209402
215	37.445984415774014
216	37.67859814960127
217	37.712421759521156
218	37.66315991167722
219	37.460209127903795
220	37.66944652274677
221	37.579618241208784
222	36.8494954287487
223	37.19304184382927
224	37.36795379477728
225	37.22944761765726
226	37.310397999963506
227	36.97105786601945
228	37.06767459260205
229	37.47551050201646
230	37.49447070202011
231	37.509434478731364
232	37.251099472618115
233	37.46186061789449
234	37.50463512107885
235	37.59588678625522
236	37.27942115732039
237	37.3436194091133
238	37.34766145367616
239	37.01375937517108
240	37.211655322177414
241	36.9423529626453
242	37.00443438748882
243	37.300443438748886
244	37.351466267632624
245	37.394733480537965
246	37.25789704191682
247	37.220022263179985
248	37.31067172758627
249	37.19760397087538
250	36.98820233945875
251	34.54184382926696
252	34.70085220533221
253	35.08039380280662
254	34.73810653479078
255	35.25002281063523
256	35.193936020730305
257	35.0278289749813
258	35.20935601014617
259	34.54868701983613
260	34.726746838445955
261	34.9889596525484
262	34.65644446066534
263	34.46236245186956
264	34.17311447289184
265	34.647110348728994
266	34.252896950674284
267	34.64647165094254
268	35.06557780920662
269	34.9812010157663
270	34.9904725366072
271	35.31181774168501
272	35.39712424749011
273	35.47046141759617
274	35.80445625959219
275	35.6413256073263
276	35.525723634303056
277	35.55338945097932
278	35.094760220449125
279	34.709402334360064
280	35.43617983895292
281	35.322255127783265
282	35.17666361974406
283	35.602584873365004
284	35.33393136653638
285	35.195602625243716
286	35.16044376504618
287	35.15474109128855
288	35.17488809761367
289	35.70971285252684
290	35.702893443298215
291	35.2769137825295
292	35.48634745118859
293	35.52522266057649
294	35.43323721909469
295	35.181776573541796
296	34.87278935227564
297	34.28463805792538
298	34.493537402511805
299	34.65027507483317
300	34.57699419637136
301	34.96104359930036
302	34.83664386384241
303	33.982736830537036
304	33.85788205987673
305	33.78475332216025
306	34.44918537242081
307	34.57857862441615
308	33.72457848318054
309	33.05893720691677
310	33.95692381013482
311	34.6455249530269
312	34.56508785964525
313	34.50050652029765
314	34.05745019846935
315	33.61820207955351
316	33.79521822820251
317	33.79309074498752
318	33.045378337048845
319	31.973487711794096
320	32.030953413084184
321	32.04189346273779
322	32.05989813994685
323	31.98123009111786
324	32.70694732552971
325	32.963954781319494
326	32.981419185038966
327	32.79797444831591
328	34.00582903360758
329	34.22580224731653
330	33.68028823716094
331	32.79195758010341
332	32.571524748719895
333	33.1629007692456
334	32.814487072890685
335	32.752717174138894
336	32.21826408553606
337	32.86249973077172
338	32.877496100308406
339	32.89336355684772
340	33.32649291243591
341	33.708037871885274
342	34.52249693093899
343	33.2988711161441
344	32.708013029315964
345	33.63014569734602
346	32.853745314789094
347	32.52860503815918
348	31.77150818530129
349	32.51705561920843
350	32.605287295407756
351	33.60554419924075
352	33.660303538415235
353	33.10397985776757
354	33.9456536494864
355	33.88336693548387
356	33.07522827891533
357	32.42705836046803
358	30.563587942413832
359	31.76718081557361
360	31.386427179530628
361	30.995954727374446
362	30.591553570654295
363	30.831879253184436
364	31.455337115714475
365	31.24152392724704
366	32.332757092198584
367	32.818548935977134
368	33.17667989599015
369	33.772830725462306
370	33.11044549041981
371	31.87221850826091
372	33.01970537593266
373	31.65875
374	32.85167671893848
375	31.16832640433143
376	32.67684553809665
377	32.25243876002602
378	32.209003391313864
379	33.596996753246756
380	31.713052095130237
381	35.05131111614902
382	33.139869281045755
383	32.423220198675494
384	31.254682454251885
385	32.528012113346314
386	33.238604143947654
387	32.07440100882724
388	31.736386768447836
389	31.874413145539908
390	32.015062020082695
391	31.570414201183432
392	31.607293550331526
393	31.915625951873288
394	32.81374093917428
395	33.988255033557046
