#Length	Count
384	198
398	14
443	12
386	92
331	93
358	233
407	520
445	139
366	256
376	106
329	99
437	1518
463	3
458	3
424	6
368	428
400	3
451	6
316	2
454	80
395	159
343	1206
468	4
347	302
475	3
441	55
434	43
413	77
397	152
349	555
292	3
275	16
325	5
378	303
350	542
374	109
442	7
429	30
431	12
382	81
337	2318
459	1
409	99
432	78
340	1090
311	82
371	127
389	5
346	120
435	14
401	11
327	20
427	98
320	1
333	340
339	1196
418	79
323	1
471	13
268	1
465	9
361	683
348	1202
345	184
319	20
285	5
404	7
412	10
385	14
446	37
282	20
420	4
344	76
352	457
364	56
388	58
355	2416
479	2
426	30
369	109
326	46
279	3
448	23
367	185
483	5
335	202
357	850
372	122
270	30
391	3
428	32
455	6
460	3
336	2648
324	9
453	13
433	1921
383	37
351	724
410	14
297	2
359	1786
334	591
440	448
299	2
277	1
430	31
377	39
447	13
379	280
462	3
414	8
477	3
415	89
423	17
452	5
342	2978
330	58
295	9
341	1634
480	18
394	192
438	203
360	3306
467	34
474	5
419	51
444	20
422	25
304	1
406	22
417	73
396	27
482	2
312	11
393	100
405	20
449	5
293	18
365	31
370	38
309	4
470	22
322	3
469	1
402	14
315	1
353	2449
375	856
416	6
338	716
380	703
300	11
403	18
466	13
286	1
310	3
484	1
303	14
381	3382
421	47
392	4
450	2
278	3
271	60
373	86
387	19
328	60
269	2
281	6
464	15
363	357
354	41004
399	25
318	19
473	3
436	95
390	3
332	270
425	10
456	1
472	1
356	434
408	13
439	1133
362	864
296	6
317	57
411	10
478	1
