#Length	Count
384	127
398	35
276	1
443	14
386	155
358	912
407	140
331	111
445	459
366	184
376	372
329	92
437	1073
259	1
463	10
458	6
424	21
368	1096
400	25
451	11
395	94
343	1263
468	2
287	2
347	391
475	6
441	57
413	41
397	132
434	66
349	566
292	1
275	15
325	2
378	636
350	968
291	1
374	43
442	43
429	17
431	64
337	2912
382	3876
459	6
409	249
432	36
284	3
340	3308
311	1
371	28
389	75
346	173
435	98
401	16
327	61
427	61
320	11
333	225
339	2558
418	38
471	57
268	11
465	40
361	204
348	5728
345	637
319	10
404	13
412	29
385	33
446	71
282	123
262	4
420	30
352	322
344	2400
364	103
388	895
355	848
426	30
369	160
326	45
448	53
367	124
483	1
256	54
335	427
357	1314
372	153
270	6
391	24
428	19
455	10
336	3135
460	17
453	19
324	17
433	112
383	147
255	2
264	2
351	459
410	29
359	753
334	729
440	2419
277	2
377	91
430	52
447	99
379	1831
462	54
414	60
477	37
415	75
423	177
452	10
342	6888
330	124
266	569
480	2
341	4776
394	551
438	709
360	444
467	50
481	1
474	6
419	50
444	60
290	1
422	5452
304	10
476	9
406	20
417	107
258	1
396	16
302	70
393	319
260	7
449	7
405	58
293	18
365	33
370	107
470	30
322	1
469	8
402	59
353	818
375	1279
416	24
338	555
380	1784
300	1
403	22
466	31
283	2
484	1
303	3
305	6
381	893
421	477
392	9
254	140
450	3
278	19
373	73
387	30
328	49
267	4
464	6
281	3
269	51
363	213
354	746
461	57
318	16
399	133
301	1
436	123
390	12
332	225
425	65
456	1
472	4
408	10
356	856
362	1334
439	1677
317	1
265	17
411	17
478	5
