Sample_Name	Unassigned	Kingdom	Phylum	Class	Order	Family	Genus	Species
CK1	0	455	230	136	787	498	710	883
CK2	0	305	188	65	429	163	1015	610
CK3	0	266	202	72	536	298	1095	908
JXBR161	0	227	218	86	719	174	523	1214
JXBR162	0	277	237	67	522	159	777	1721
JXBR163	0	224	126	47	349	337	556	1217
RW371	0	303	242	48	697	232	783	782
RW372	0	349	510	82	529	195	870	1072
RW373	0	132	63	65	31	86	106	151
R37J161	0	428	357	74	746	420	1256	1874
R37J162	0	409	287	91	595	208	682	1151
R37J163	0	292	239	69	376	161	569	1416
