# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
No blast hit;Other;Other;Other	0.00283402895862	0.00135207682978	0.00192217964005	0.0013179764416
k__;p__;c__;o__	0.000714948214562	0.000233630922792	0.00120036529389	0.00117344638795
k__Animalia;p__Arthropoda;c__;o__	1.28819498119e-05	1.98834827908e-05	3.98792456442e-06	6.88238350706e-06
k__Fungi;p__;c__;o__	0.0399920131911	0.017611794882	0.0512089393317	0.029040217208
k__Fungi;p__Ascomycota;c__;o__	0.0400177770907	0.0179498140894	0.0409878886731	0.0505029301748
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales	5.15277992477e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales	0.0	4.97087069771e-06	2.79154719509e-05	3.44119175353e-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__	0.00238960169011	0.00213250352932	0.00557910646562	0.0132210587171
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales	0.000161024372649	4.97087069771e-05	1.59516982577e-05	0.000227118655733
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.0064796207554	0.00392698785119	0.0109548287785	0.00474196223636
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.00115293450817	0.000755572346052	0.000622116232049	5.16178763029e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis	0.000238316071521	6.9592189768e-05	0.000215347926479	6.19414515635e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis	0.0	0.0	2.39275473865e-05	2.06471505212e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales	0.000206111196991	9.44465432565e-05	0.000729790195289	7.91474103311e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.0540333384861	0.0281898077267	0.0565846616445	0.0310842851096
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales	0.000566805791725	0.00126260115722	0.000614140382921	0.000781150528051
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales	0.000579687741537	0.00107370807071	0.00116846189737	0.000344119175353
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__	0.000991910135518	0.000472232716283	0.000933174348074	0.000309707257818
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Arachnomycetales	0.0	0.0	0.0	6.88238350706e-06
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.0367006750142	0.0137394866085	0.0363818358012	0.0144357994061
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Coryneliales	1.28819498119e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.287293244706	0.538509335295	0.302344500851	0.0648320526365
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiomycetidae_ord_Incertae_sedis	0.0	0.0	1.99396228221e-05	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales	0.00476632143041	0.00857475195355	0.0120714476565	0.00212665650368
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales	4.50868243417e-05	2.98252241863e-05	0.000247251322994	9.63533690988e-05
k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniales	0.0	0.0	3.98792456442e-06	1.03235752606e-05
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__	0.0	4.97087069771e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales	2.57638996238e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Candelariales	3.86458494358e-05	1.49126120931e-05	0.000111661887804	0.0
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	0.000109496573401	1.49126120931e-05	9.96981141105e-05	3.09707257818e-05
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetidae_ord_Incertae_sedis	0.0	0.0	0.000151541133448	0.0
