# Constructed from biom file
#OTU ID	CK	JXBR16	R37J16	RW37
No blast hit;Other;Other;Other;Other;Other	0.00283402895862	0.00135207682978	0.00192217964005	0.0013179764416
k__;p__;c__;o__;f__;g__	0.000714948214562	0.000233630922792	0.00120036529389	0.00117344638795
k__Animalia;p__Arthropoda;c__;o__;f__;g__	1.28819498119e-05	1.98834827908e-05	3.98792456442e-06	6.88238350706e-06
k__Fungi;p__;c__;o__;f__;g__	0.0399920131911	0.017611794882	0.0512089393317	0.029040217208
k__Fungi;p__Ascomycota;c__;o__;f__;g__	0.0400177770907	0.0179498140894	0.0409878886731	0.0505029301748
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	5.15277992477e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Roccellaceae;g__Lecanactis	0.0	4.97087069771e-06	2.79154719509e-05	3.44119175353e-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__;f__;g__	0.00238960169011	0.00213250352932	0.00557910646562	0.0132210587171
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria	0.0	1.98834827908e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia	0.0	2.48543534886e-05	7.97584912884e-06	3.44119175353e-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia	3.22048745298e-05	4.97087069771e-06	0.0	0.000206471505212
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	0.000128819498119	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Phyllosticta	0.0	0.0	7.97584912884e-06	1.72059587676e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__;g__	0.00246045241408	0.00136201857117	0.00337777210606	0.00144530053648
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Toxicocladosporium	0.0	2.98252241863e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	0.0011915803576	0.000924581949774	0.00298296757419	0.000918798198192
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__	6.44097490596e-06	4.97087069771e-06	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora	1.28819498119e-05	4.97087069771e-06	0.0	0.000110118136113
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramichloridium	0.0	3.97669655817e-05	0.000103686038675	0.000629738090896
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	1.93229247179e-05	3.4796094884e-05	3.58913210798e-05	5.50590680564e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zasmidium	2.57638996238e-05	6.9592189768e-05	4.38671702086e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__	0.0	0.0	1.19637736933e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.00276317823466	0.00145646511443	0.00439070494543	0.00158294820662
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Neodevriesia	0.0	0.0	7.97584912884e-06	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__;g__	3.22048745298e-05	4.47378362794e-05	3.19033965154e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__	1.93229247179e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Kabatiella	0.00110140670892	0.000710834509773	0.000590212835534	5.16178763029e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Minutisphaera	0.0	0.0	5.18430193374e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Pseudoramichloridium	0.000238316071521	6.9592189768e-05	0.000163504907141	6.19414515635e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis	0.0	0.0	2.39275473865e-05	2.06471505212e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae;g__Jahnula	0.000109496573401	9.44465432565e-05	0.000598188684663	7.91474103311e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae;g__Manglicola	9.66146235894e-05	0.0	0.000131601510626	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__;g__	0.0281921471634	0.0191875608932	0.0297778327225	0.018317463704
