CK	JXBR16	R37J16	RW37
Dacrymycetes	6.44097490596e-06	4.97087069771e-06	2.39275473865e-05	1.03235752606e-05
Microbotryomycetes	5.15277992477e-05	0.000208776569304	0.000155529058012	2.40883422747e-05
Ustilaginomycetes	0.000747153089092	0.000656154932098	0.000330997738847	0.00549902442214
Wallemiomycetes	1.93229247179e-05	4.97087069771e-06	3.98792456442e-06	0.00234345158415
Mucoromycotina_cls_Incertae_sedis	0.0106340495697	0.0195156383592	0.0217940077445	0.00445978451257
Atractiellomycetes	6.44097490596e-06	2.98252241863e-05	0.000255227172123	0.0
Saccharomycetes	0.000322048745298	0.000114330026047	0.000590212835534	0.000344119175353
Eurotiomycetes	0.32981012006	0.561325631798	0.351998149603	0.0818074515566
Agaricomycetes	0.116375534601	0.0740957986201	0.0682493409955	0.0523611737217
Entorrhizomycetes	1.93229247179e-05	4.97087069771e-06	0.0	0.0
Ustilaginomycotina_cls_Incertae_sedis	1.28819498119e-05	0.0	2.39275473865e-05	7.57062185776e-05
Archaeorhizomycetes	5.15277992477e-05	0.0	0.0	0.0
Orbiliomycetes	0.00638300613181	0.00165529994234	0.004797473251	0.000949768923974
Exobasidiomycetes	0.000405781419076	0.000203805698606	0.000279154719509	8.94709855917e-05
Chytridiomycetes	0.0035683000979	0.000561708388841	0.00527602419873	0.0150035960454
Agaricostilbomycetes	1.93229247179e-05	2.48543534886e-05	0.000159516982577	6.88238350706e-06
Lecanoromycetes	0.000322048745298	0.00010935915535	0.000546345665325	9.63533690988e-05
Blastocladiomycetes	1.28819498119e-05	0.0	0.0	0.0
Pucciniomycetes	9.66146235894e-05	4.97087069771e-06	0.0	1.37647670141e-05
Leotiomycetes	0.0339825836039	0.0164138150438	0.0229903851139	0.0340918867022
Sordariomycetes	0.266005822641	0.157914620325	0.226522091108	0.553849489155
Cystobasidiomycetes	0.0	0.0	2.79154719509e-05	0.0
Laboulbeniomycetes	0.0	0.0	3.98792456442e-06	1.03235752606e-05
Kickxellomycotina_cls_Incertae_sedis	0.000109496573401	5.46795776748e-05	6.77947175951e-05	4.12943010423e-05
Tremellomycetes	0.00802545473283	0.0356858807389	0.0274010296821	0.00364422206699
Arthoniomycetes	0.0	4.97087069771e-06	2.79154719509e-05	3.44119175353e-06
Mortierellomycotina_cls_Incertae_sedis	0.0184533931056	0.0254260036188	0.0408921784836	0.0348833608055
Dothideomycetes	0.0658074406142	0.0375549281212	0.0765083327684	0.0506130483109
Monoblepharidomycetes	0.000199670222085	4.47378362794e-05	8.37464158528e-05	4.81766845494e-05
Neocallimastigomycetes	0.0	0.0	7.97584912884e-06	0.0
Pezizomycetes	0.000888854537023	0.00116815461396	0.00137982189929	0.00237786350169
Neolectomycetes	0.0	5.96504483725e-05	3.98792456442e-06	2.06471505212e-05
Glomeromycetes	0.00443783171021	0.000720776251168	0.000853415856786	0.00113559327866
Pezizomycotina_cls_Incertae_sedis	0.0100414798784	0.0135555643927	0.0244738930518	0.0225466883691
Lichinomycetes	1.93229247179e-05	0.000273397888374	0.000155529058012	0.000295942490803
