CK	JXBR16	R37J16	RW37
Cystofilobasidiaceae	0.00094038233627	0.00202811524467	0.0106078793414	0.000739856227009
Pleomassariaceae	0.00279538310919	0.000531883164655	0.0048413404212	0.000860297938382
Ophiocordycipitaceae	0.00986757355593	0.00361879386793	0.0043827290963	0.0025395995141
Chaetomiaceae	0.0395926727469	0.0268973813453	0.0311935459429	0.0261117630258
Auriculariales_fam_Incertae_sedis	1.93229247179e-05	0.00291293022886	0.0164382250545	1.03235752606e-05
Myxotrichaceae	0.0207334982223	0.00926570298053	0.0085182068696	0.0313492568746
Coniochaetaceae	0.0180476116865	0.0296462728412	0.0259175217442	0.00545084773759
Phaeosphaeriaceae	0.000328489720204	0.00159067862327	0.00433487400152	0.000464560886726
Nectriaceae	0.0353609522337	0.0423021096375	0.0717028836683	0.457065971087
Pleosporales_fam_Incertae_sedis	0.0124439635183	0.0013073389935	0.00693101289296	0.00242259899448
Lasiosphaeriaceae	0.0208687586953	0.00334042510886	0.00513644683897	0.00403651792689
Sordariaceae	0.000618333590972	0.00115821287257	0.00411155022592	0.000794915295065
Agaricaceae	0.00868243417324	5.96504483725e-05	0.000358913210798	1.03235752606e-05
Sebacinales_Group_B	0.0264530839388	0.00882826635914	0.0105600242466	0.00120785830549
Orbiliaceae	0.00590637398877	0.000964348915356	0.0042591034348	0.000688238350706
Mortierellaceae	0.0184469521307	0.025406120136	0.0408762267853	0.0348110957787
Trichocomaceae	0.282842531046	0.533757182908	0.299437303844	0.0610605064746
Ceratobasidiaceae	0.00603519348689	0.000869902372099	0.000562297363583	0.00354098631438
Bionectriaceae	0.0089658370691	0.0108215855089	0.0203424032031	0.00181694924586
Geastraceae	0.00251842118823	0.0196498518681	0.000103686038675	0.0143325636534
Herpotrichiellaceae	0.0236126140053	0.00881832461774	0.0229186024717	0.0103545459864
Onygenaceae	0.00461173803267	0.0080279561768	0.00963083782307	0.00200621479231
Clavicipitaceae	0.00371644252074	0.000516970552562	0.000502478495117	0.000182383162937
Hypocreaceae	0.00688540217447	0.0120593323126	0.00236085134214	0.00343430937002
Hypocreales_fam_Incertae_sedis	0.0514505075488	0.00590042351818	0.0239634387076	0.0181419629246
Cucurbitariaceae	0.00414798783944	0.00294772632374	0.00368085437296	0.00368207517628
Pleosporaceae	0.00307234503014	0.000859960630704	0.00131202718169	0.00398145885883
Cordycipitaceae	0.000953264286082	0.000482174457678	0.000319033965154	0.0131866467995
Pezizomycotina_fam_Incertae_sedis	0.0100092750039	0.0135555643927	0.0244499655045	0.0225398059856
Terramycetaceae	0.000437986293605	8.45048018611e-05	0.00401982796093	0.00371992828556
Tremellales_fam_Incertae_sedis	0.00693692997372	0.0336030859165	0.0166376212828	0.00286995392244
Teratosphaeriaceae	0.00276317823466	0.00145646511443	0.00441064456825	0.00158294820662
Melanotaeniaceae	0.000747153089092	0.000656154932098	0.000330997738847	0.00549902442214
Rhizophydiales_fam_Incertae_sedis	0.0	0.0	0.0	0.00948392447272
Cunninghamellaceae	0.0099448652548	0.0190881434792	0.0213114688723	0.0041913715558
