CK	JXBR16	R37J16	RW37
Arnium	0.0148528881331	0.00145149424373	0.000889307177865	0.00011700051962
Acremonium	0.00861158344927	0.00494104547353	0.00943941744398	0.0124502317643
Lecythophora	0.0178865873139	0.0292983118923	0.0256423549492	0.00500349280963
Pseudogymnoascus	0.00891430926985	0.00886803332472	0.0069150611947	0.0311944032457
Serendipita	0.000766476013809	0.00030322311256	0.00477753362817	0.00110118136113
Oliveonia	1.93229247179e-05	0.00291293022886	0.0164382250545	1.03235752606e-05
Stachybotrys	0.039863193693	0.000681009285586	0.0142169510722	0.00466281482603
Staphylotrichum	0.0056229710929	0.00929552820472	0.00533185514263	0.00515146405503
Talaromyces	0.00958417066007	0.00713817032191	0.000458611324908	0.00319342594727
Trichocladium	0.0330099963931	0.0225329568727	0.0256303911755	0.0202651782365
Mortierella	0.0182923687329	0.0253912075239	0.0408483113133	0.0337580911021
Aspergillus	0.00997707012933	0.448506750442	0.249536403769	0.00644535215436
Boothiomyces	0.000437986293605	8.45048018611e-05	0.00401982796093	0.00371992828556
Trichoderma	0.00372932447055	0.0095589843517	0.00107275170783	0.00275295340282
Pyrenochaetopsis	0.00414798783944	0.00294772632374	0.00368085437296	0.00368207517628
Guehomyces	0.00094038233627	0.00194361044281	0.0106038914168	0.000732973843501
Melanotaenium	0.000747153089092	0.000656154932098	0.000330997738847	0.00549902442214
Exophiala	0.00101767403514	0.00191378521862	0.00559505816388	0.00377842854537
Chalara	1.28819498119e-05	0.000462290974887	0.00606563326248	0.000378531092888
Cladophialophora	0.0217318493327	0.00570655956097	0.0146037797549	0.0047763741539
Ciliophora	0.000251198021333	0.00209770743443	0.0101572438656	0.0150070372371
Purpureocillium	0.00661488122842	0.00345972600561	0.00419928456633	0.00242259899448
Massariosphaeria	0.00502396042665	0.000551766647446	0.00499686947922	0.000681355967199
Penicillium	0.262263616221	0.0778189807727	0.0490873634634	0.0512427864018
Gongronella	0.0099384242799	0.0190732308671	0.0212915292494	0.00417072440528
Cordyceps	0.000264079971144	0.00010935915535	9.17222649816e-05	0.0125741146674
Aphanoascus	0.0042188385634	0.00801304356471	0.00954709140722	0.00148315364577
Neurospora	0.000618333590972	0.00100411588094	0.00409161060309	0.000788032911558
Clonostachys	0.00887566342042	0.0108166146382	0.019776117915	0.00178941971183
Fusarium	0.0198446436853	0.0245461595053	0.0319991067049	0.262851990901
Ascochyta	0.00701422167259	0.000392698785119	0.00126018416236	0.00127668214056
Sphaerobolus	0.00251842118823	0.019585230549	2.39275473865e-05	0.0143325636534
Cryptococcus	0.00678234657598	0.0335583480802	0.0165219714704	0.0028286596214
Devriesia	0.00276317823466	0.00145646511443	0.00439070494543	0.00158294820662
Paludomyces	0.0	0.0	0.0	0.00948392447272
