CK	JXBR16	R37J16	RW37
Diversisporales	0.00139125057969	2.98252241863e-05	2.79154719509e-05	0.000106676944359
Sordariomycetes_ord_Incertae_sedis	0.000792239913433	0.000462290974887	0.00220133435956	0.00129044690757
Tremellales	0.0070271036224	0.0336179985286	0.0166376212828	0.0028802774977
Eurotiales	0.287293244706	0.538509335295	0.302344500851	0.0648320526365
Microascales	0.000753594063998	4.47378362794e-05	0.000147553208884	0.00261530573268
Wallemiales	0.0	4.97087069771e-06	0.0	0.00232624562538
Trechisporales	0.000779357963621	0.000720776251168	0.000295106417767	0.00704067832772
Chaetothyriales	0.0367006750142	0.0137394866085	0.0363818358012	0.0144357994061
Tubeufiales	0.000566805791725	0.00126260115722	0.000614140382921	0.000781150528051
Sebacinales	0.0269812438811	0.00959378044658	0.0122030491671	0.00175844898605
Pleosporales	0.0540333384861	0.0281898077267	0.0565846616445	0.0310842851096
Geastrales	0.00251842118823	0.0196498518681	0.000103686038675	0.0143325636534
Ustilaginales	0.000747153089092	0.000656154932098	0.000330997738847	0.00549902442214
Capnodiales	0.0064796207554	0.00392698785119	0.0109548287785	0.00474196223636
Auriculariales	0.000309166795486	0.00561211301772	0.0306232727302	0.000774268144544
Sordariomycetidae_ord_Incertae_sedis	0.00494022775287	0.00289801761677	0.00545149287956	0.00210256816141
Cantharellales	0.00603519348689	0.000899727596286	0.000570273212712	0.00362357491647
Orbiliales	0.00638300613181	0.00164535820094	0.004797473251	0.000777709336297
Mortierellales	0.0184533931056	0.0254260036188	0.0408921784836	0.0348833608055
Xylariales	0.00139125057969	0.00298252241863	0.00173873511009	0.00101515156729
Onygenales	0.00476632143041	0.00857475195355	0.0120714476565	0.00212665650368
Coniochaetales	0.0180476116865	0.0296562145825	0.0259175217442	0.00545084773759
Spizellomycetales	0.00207399391972	0.00023860179349	0.000701874723338	0.000987622033263
Cystofilobasidiales	0.00094038233627	0.00202811524467	0.0106078793414	0.000739856227009
Mucorales	0.0102797959499	0.0192969200485	0.0215028892513	0.00429804850016
Sordariales	0.0622262585665	0.0318235142067	0.0449638494638	0.0311668737117
Leotiomycetes_ord_Incertae_sedis	0.0211457206163	0.00931044081681	0.0085182068696	0.0313492568746
Rhizophydiales	0.00117869840779	0.000213747440002	0.00419928456633	0.0133277356614
Hypocreales	0.14964316999	0.0806871731653	0.127087180019	0.501199255326
Pezizales	0.000888854537023	0.00116815461396	0.00137982189929	0.00237786350169
Glomerales	0.0020482300201	0.0006511840614	0.000813536611141	0.000942886540467
Pezizomycotina_ord_Incertae_sedis	0.0100414798784	0.0135555643927	0.0244738930518	0.0225466883691
Agaricales	0.0680295769568	0.0354423080747	0.0225557013364	0.0238233705097
Venturiales	0.000579687741537	0.00107370807071	0.00116846189737	0.000344119175353
Helotiales	0.0126243108157	0.00704869464935	0.0144362869232	0.00270821791003
