CK	JXBR16	R37J16	RW37
Glomeromycota	0.00502396042665	0.000750601475354	0.000941150197203	0.00114591685392
Cercozoa	0.00027052094605	0.000233630922792	0.000291118493203	0.000385413476395
Ciliophora	0.0115808728809	0.013336846082	0.019098170739	0.0235205456354
Basidiomycota	0.125856649662	0.11099954268	0.0969863254067	0.0644672863106
Rozellomycota	0.000779357963621	0.000671067544191	0.00696690421404	0.000368207517628
Zygomycota	0.0291969392487	0.0450012924264	0.0627619567948	0.0393878808109
Chytridiomycota	0.00408357809038	0.000904698466983	0.0054913721252	0.0153339504537
Neocallimastigomycota	0.0	0.0	7.97584912884e-06	0.0
Chlorophyta	0.00267944556088	0.000482174457678	0.00186236077158	0.003169337605
Arthropoda	1.28819498119e-05	1.98834827908e-05	3.98792456442e-06	6.88238350706e-06
Ascomycota	0.753652032772	0.808099536715	0.750986014349	0.797509953647
