CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Dacrymycetes	0.0	0.0	1.74152313613e-05	2.11698456718e-05	0.0	0.0	4.84575947588e-05	0.0	1.46888174033e-05	1.85260661751e-05	3.55859222092e-05	0.0
Microbotryomycetes	0.000131591314973	0.0	1.74152313613e-05	0.000656265215827	5.9517432656e-05	8.58049938506e-05	0.000125989746373	0.000264167557708	7.34440870166e-05	5.55781985253e-05	7.11718444183e-05	0.0
Ustilaginomycetes	1.87987592819e-05	0.000716845878136	0.00144546420299	0.00139720981434	0.000678498732279	0.000128707490776	0.000465192909685	0.000138373482609	0.000352531617679	0.00902219422728	0.00170812426604	0.00562585565662
Wallemiomycetes	0.0	0.0	5.2245694084e-05	2.11698456718e-05	0.0	0.0	0.0	0.0	1.46888174033e-05	9.26303308755e-05	0.0	0.00374687529446
Mucoromycotina_cls_Incertae_sedis	0.00729391860137	0.00490591397849	0.0181815015412	0.0238584160721	0.0266042923972	0.00806566942196	0.0458893422366	0.00242782564941	0.00788789494558	0.012486568602	0.0110494288459	5.54271493263e-06
Zoopagomycotina_cls_Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	9.69151895177e-06	0.0	0.0	1.85260661751e-05	0.0	0.0
Atractiellomycetes	0.0	2.24014336918e-05	0.0	0.000127019074031	0.0	0.0	4.84575947588e-05	7.54764450594e-05	0.000778507322375	0.0	0.0	0.0
Saccharomycetes	0.000432371463483	0.00038082437276	0.000174152313613	0.000190528611046	7.14209191872e-05	0.000114406658468	0.000135681265325	0.00162274356878	7.34440870166e-05	0.000611360183779	0.000213515533255	0.000304849321295
Eurotiomycetes	0.130576181972	0.54314516129	0.348531025235	0.424751783559	0.486066969015	0.744000800847	0.322911719954	0.185244354991	0.590798924779	0.250416836489	0.152040852639	0.00948358524973
Agaricomycetes	0.201503900743	0.0731630824373	0.0711063896484	0.124372843322	0.0259615041246	0.0979607013128	0.0688194760765	0.0733002075602	0.0614873896503	0.159879951091	0.1066332159	0.00328682995505
Entorrhizomycetes	0.0	0.0	5.2245694084e-05	0.0	0.0	1.43008323084e-05	0.0	0.0	0.0	0.0	0.0	0.0
Ustilaginomycotina_cls_Incertae_sedis	1.87987592819e-05	0.0	1.74152313613e-05	0.0	0.0	0.0	3.87660758071e-05	1.25794075099e-05	1.46888174033e-05	1.85260661751e-05	0.0	0.000116397013585
Archaeorhizomycetes	0.0	0.000179211469534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orbiliomycetes	0.00328978287433	0.00089605734767	0.0135142195364	0.00347185469018	0.0014879358164	0.000629236621571	0.00294622176134	0.00212591986917	0.0107228367044	0.000648412316129	0.00297142450447	0.000410160905014
Exobasidiomycetes	0.00030078014851	0.000918458781362	0.000104491388168	0.000402227067765	0.000226166244093	4.29024969253e-05	0.000271362530649	0.000276746965218	0.000293776348066	0.000240838860276	0.00023130849436	0.0
Chytridiomycetes	0.00272582009587	0.00707885304659	0.00161961651661	0.000486906450452	0.000571367353498	0.000600634956954	0.00690036149366	0.00428957796088	0.00396598069889	0.0123383600726	0.015319739511	0.0157025114041
Agaricostilbomycetes	1.87987592819e-05	0.0	3.48304627227e-05	0.0	2.38069730624e-05	4.29024969253e-05	1.93830379035e-05	0.000415120447827	7.34440870166e-05	0.0	3.55859222092e-05	0.0
Lecanoromycetes	0.00039477394492	0.000112007168459	0.000417965552672	0.000359887376421	0.0	7.15041615422e-05	0.000310128606456	0.00118246430593	0.000161576991436	9.26303308755e-05	0.000142343688837	8.31407239894e-05
