CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Cystofilobasidiaceae	0.000469968982047	0.000492831541219	0.00172410790477	0.0031543070051	0.00198788225071	0.00131567657238	0.012463293372	0.0121391282471	0.00600772631795	0.00200081514691	0.00190384683819	0.0
Pleomassariaceae	0.000187987592819	0.00132168458781	0.00635655944689	0.000783284289858	0.000738016164935	0.000114406658468	0.0019479953093	0.00982451726524	0.00340780563757	0.00122272036756	0.00327390484324	0.0
Ophiocordycipitaceae	0.00853463671398	0.00313620071685	0.0163354870169	0.00362004360988	0.00572557702151	0.00108686325544	0.00648362617873	0.00196238757155	0.00402473596851	0.00968913260958	0.00382548663749	0.0
Chaetomiaceae	0.0423912021807	0.00990143369176	0.0600825481967	0.0248322289731	0.0386149103072	0.0142150273146	0.0551350513166	0.0150575507894	0.0137487330895	0.0424617436733	0.0623643286716	0.00992700244434
Auriculariales_fam_Incertae_sedis	0.0	4.48028673835e-05	1.74152313613e-05	0.0113893769714	0.000309490649811	0.000314618310786	0.00626072124284	0.0309579218819	0.0149091496644	0.0	5.33788833138e-05	0.0
Myxotrichaceae	0.020208666228	0.0433915770609	0.0036049528918	0.012447869255	0.0139270792415	0.00151588822469	0.0114844499578	0.00670482420278	0.00613992567458	0.00646559709511	0.0077755240027	0.0461375590992
Coniochaetaceae	0.0402669423818	0.00645161290323	0.00647846606642	0.034316319834	0.0442214524634	0.0089809226897	0.0223389511838	0.0474998427574	0.00613992567458	0.0159138908444	0.0128998968008	0.0
Phaeosphaeriaceae	0.000187987592819	0.00051523297491	0.000313474164504	0.00156656857972	0.0020593031699	0.00104396075852	0.00200614442302	0.0106421787534	0.000499419791713	0.00125977249991	0.00119212839401	0.0
Nectriaceae	0.049083560485	0.0194444444444	0.0350220302677	0.0360099074878	0.0681950743373	0.0154448988931	0.0813603016001	0.100308195484	0.0236636848367	0.0517062506947	0.052222340842	0.704456897077
Tricholomataceae	1.87987592819e-05	0.0125224014337	1.74152313613e-05	0.0	1.19034865312e-05	0.0	0.0	0.0	0.0	0.0	5.33788833138e-05	0.0
