CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Arnium	0.0396277845662	0.0013664874552	0.0023858866965	0.000635095370155	0.00124986608578	0.00224523067243	0.000106606708469	0.00122020252846	0.00168921400138	0.000463151654378	0.000160136649941	0.0
Chaetomium	0.00353416674499	0.00114247311828	0.00343080057819	0.000571585833139	0.00349962504017	0.000586334124646	0.00255856100327	0.00435247499843	0.000763818504972	0.0108748008448	0.00320273299883	0.00187343764723
Acremonium	0.00488767741329	0.0169802867384	0.00555545880427	0.00120668120329	0.00902284279065	0.00255984898321	0.01266681527	0.0043147367759	0.0105318820782	0.025917966579	0.00521333760364	0.0106752689602
Pseudogymnoascus	0.0197010997274	0.00306899641577	0.00346563104091	0.01213032157	0.0132366770227	0.00141578239854	0.0105249895816	0.00319516950752	0.0057873940569	0.00618770610249	0.00724173516957	0.0461375590992
Lecythophora	0.0400413572704	0.00627240143369	0.00639138990961	0.0330672989394	0.0441381280577	0.00892371936047	0.0223292596649	0.0466821812693	0.00609585922237	0.0159138908444	0.0105868118572	0.0
Serendipita	0.00212425979885	8.9605734767e-05	3.48304627227e-05	0.00069860490717	1.19034865312e-05	0.000386122472328	0.0101664033804	0.000327064595258	0.00180672454061	0.000463151654378	0.00524892352585	0.0
Oliveonia	0.0	4.48028673835e-05	1.74152313613e-05	0.0113893769714	0.000309490649811	0.000314618310786	0.00626072124284	0.0309579218819	0.0149091496644	0.0	5.33788833138e-05	0.0
Stachybotrys	0.000582761537739	0.000403225806452	0.106929520559	0.00192645595614	0.000261876703687	0.000343219975403	0.00307221150771	0.000792502673124	0.0467838834295	0.000555781985253	0.0223657521085	0.000376904615419
Staphylotrichum	0.00719992480496	0.0032482078853	0.00600825481967	0.0098439782374	0.0142008594317	0.00303177644939	0.00888712287877	0.00154726712372	0.00436257876878	0.0176553410649	0.0096793708409	0.0
Talaromyces	0.00191747344675	0.0287410394265	0.00179376883022	0.00493257404154	0.000797533597591	0.0162457455024	0.000872236705659	5.03176300396e-05	0.00030846516547	0.0166549334914	0.000373652183196	4.4341719461e-05
Trichocladium	0.0345521195601	0.0078853046595	0.0511137040456	0.0222071681097	0.0312347486579	0.0122987157853	0.0468391110939	0.00988741430279	0.0118685644619	0.0269554262848	0.0534856410804	0.00791499692379
Mortierella	0.0299652222953	0.00983422939068	0.0140540917086	0.0634036877871	0.0219500291635	0.00384692389097	0.0748863669403	0.00213849927668	0.0344599656282	0.100170439809	0.0735916871286	0.00147990488701
Aspergillus	0.0165241094088	0.00694444444444	0.00626948329009	0.315176662362	0.375138378031	0.626719675085	0.190719401452	0.0926095980879	0.521923059974	0.00618770610249	0.00571154051457	0.00675102678794
Boothiomyces	0.000526365259893	0.000739247311828	0.000121906619529	4.23396913437e-05	5.9517432656e-05	0.000143008323084	0.00549509124565	0.00354739291779	0.00233552196713	0.0089295638964	0.0106579837016	0.0
