CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Glomeromycota	0.01073409155	0.00215053763441	0.00196792114383	0.0015030590427	0.00078563011106	0.000200211652318	0.00156033455123	0.000364802817787	0.000675685600552	0.00324206158064	0.00165474538273	0.000360276470621
Cercozoa	0.000357176426356	0.000268817204301	0.000191567544975	0.000550415987467	0.000214262757562	4.29024969253e-05	0.000455501390733	6.28970375495e-05	0.00030846516547	0.000611360183779	0.000622753638661	0.000243879457036
Ciliophora	0.0111664630134	0.0201612903226	0.00529423033385	0.0297436331689	0.0120463283696	0.00380402139405	0.0216799278951	0.0166928737656	0.0179938013191	0.0177664974619	0.0819187929255	0.0070503333943
Basidiomycota	0.21413666698	0.0791890681004	0.0803538775013	0.144992273006	0.0919782404266	0.11088865372	0.108070127831	0.099075413548	0.0777479105157	0.17877653859	0.120031315612	0.0129588675125
Rozellomycota	0.000883541686249	0.000918458781362	0.000574702634925	0.000169358765375	0.001142734707	0.000443325801562	0.0111064807187	0.00601295678974	0.00180672454061	0.000240838860276	0.00167253834383	0.0
Zygomycota	0.0376539148416	0.0148297491039	0.032531652183	0.0873679530876	0.0486852599126	0.0119554958099	0.12084354981	0.00457890433361	0.0426710145566	0.113101633999	0.0846411159745	0.00323694552065
Chytridiomycota	0.00355296550428	0.00748207885305	0.00193309068111	0.00137603996867	0.000821340570653	0.000686439950805	0.00716203250535	0.00445311025851	0.00417162414254	0.0125606728667	0.0162271805274	0.0158854209969
Neocallimastigomycota	0.0	0.0	0.0	0.0	0.0	0.0	9.69151895177e-06	0.0	1.46888174033e-05	0.0	0.0	0.0
Chlorophyta	0.00193627220603	0.0030017921147	0.00311732641368	0.000762114444186	0.000499946434311	0.00027171581386	0.000242287973794	0.00461664255614	0.00110166130525	0.00448330801438	0.00225970606028	0.00305957864281
Arthropoda	0.0	0.0	3.48304627227e-05	0.0	4.76139461248e-05	0.0	9.69151895177e-06	0.0	0.0	0.0	3.55859222092e-05	0.0
Ascomycota	0.626224269198	0.800918458781	0.834955852388	0.706014353155	0.820709685867	0.86191116323	0.671438124497	0.791383105856	0.824380499126	0.631368335248	0.647930678624	0.893812667321
