per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	42.2	16.5	20.2	26.3	22.75	10.5	26.6	48.6	17.4	34.5	34.3	14.9	
4473	2278.626098183	1887.047803696	2113.012601935	2028.809183471	1845.668268856	1586.957303223	1919.828913795	2250.428969856	339.6206024548	2295.815783323	1810.397239747	1588.214323736	
8936	3333.04855946	2760.786338526	2938.41214989	3053.665658382	2553.57424148	2413.457519758	2727.08632937	3124.642428375	414.9472399901	3443.263931171	2539.133541333	2492.151418493	
13399	3923.193866922	3391.505742656	3556.076018525	3638.585995815	3369.371880685	2916.402393306	3412.828280801	3722.791475944	480.8034169461	4175.947607159	3031.628608985	3151.150349576	
17862	4316.948984029	3582.125216463	3983.658900923	4120.875236761	3810.544118836	3413.311586588	3717.224275846	4046.204962085	506.3824400706	4768.719638378	3527.712709517	3477.269977761	
22325	4608.773959889	3982.710401237	4306.833121709	4513.369405701	4348.369595972	3694.993953056	4081.40185947	4400.140715499	563.61445985	5370.510113943	3740.465976085	3872.249503246	
26788	4845.433603832	4177.568849825	4424.753604976	4963.380860787	4822.189984889	3926.317419269	4290.49491174	4746.405878009	565.8721225045	5775.705120859	3923.738394951	4182.304699708	
31251	5020.214741595	4310.665931356	4679.670587942	5084.344894117	5131.491255504	4132.87769431	4433.557668629	4855.068912244	570.6436722894	6104.597884625	4188.798076773	4476.296831812	
35714	5089.895294972	4348.595235969	4794.67371326	5263.392331065	5367.583281029	4369.807659885	4648.111347532	5050.553455724	597.3724343321	6164.003696302	4256.756944631	4881.030538816	
40177	5195.992352266	4421.159231113	4838.46679895	5370.760480585	5536.617860378	4460.145228892	4718.005405158	5113.875302507	616.9176053169	6434.468496604	4257.994326977	4943.56235319	
44640	5302.134688486	4472.57214765	4957.955343377	5482.624560647	5782.740118481	4534.77811332	4731.049438711	5186.080625531	624.4915477868	6598.653688499	4301.936761572	5047.926927847	
