per_sample	CK	JXBR16	R37J16	RW37
10	36.3	16.25	29.9	24.7	
4473	2584.82837205	2194.561770498	2141.954692637	1545.581771467	
8936	3981.080731456	3361.813008104	3774.795335644	2120.087070505	
13399	5118.481192094	4217.841406426	4609.709782301	2847.107158372	
17862	5778.90665881	4947.392551789	5247.549868843	3382.149710139	
22325	6244.977274277	5706.406318835	6108.203449503	3763.804144866	
26788	6787.943033097	6198.08704042	6642.81864359	4324.51899598	
31251	7107.017261025	6620.501422388	7317.891281035	4530.964446107	
35714	7498.392249733	6862.869334561	7603.132637329	4707.199575015	
40177	7686.221563336	7257.194819675	7888.224870488	5046.124082691	
44640	7957.854078757	7597.804300312	8233.810257611	5241.989966596	
