per_sample	CK	JXBR16	R37J16	RW37
10	0.15	0.46	0.26	0.28	
4473	0.8686340263805	0.9005365526493	0.8891795215739	0.9222892913034	
8936	0.8958482542524	0.9210049239034	0.908941360788	0.9424910474486	
13399	0.9104485409359	0.9304798865589	0.9213672662138	0.9489514142846	
17862	0.9198801925875	0.9367707983427	0.9308756018363	0.954288433546	
22325	0.9276326987682	0.9408062709966	0.9353505039194	0.9586517357223	
26788	0.9328467970733	0.9449566970287	0.9399469911901	0.9607286844856	
31251	0.937893187418	0.9480208633324	0.9428018303414	0.9635883651724	
35714	0.9415103320824	0.9511900095202	0.9463851710815	0.9662009296076	
40177	0.9455758269656	0.9533215521318	0.9490753416133	0.9677925181074	
44640	0.9485371863798	0.9548700716845	0.9512387992831	0.9693660394265	
