per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	9.6	6.3	7.8	7.7	7.2	4.9	8.6	9.8	7.9	8.7	9	5.8	
4473	913.6	672.1	710.6	735.2	577.4	468.1	698.2	841.6	187.7	757.5	719.4	567.9	
8936	1393.1	1055.2	1124.4	1152.8	911.7	751.5	1065.9	1293.6	246.1	1178.5	1068.4	888.5	
13399	1778.9	1377.1	1452	1495.9	1202.7	982.3	1375.5	1644.2	293	1548.6	1360.1	1161	
17862	2096	1642.2	1759.5	1786.2	1441.6	1220	1643	1955.3	329.2	1847	1616.2	1383.6	
22325	2377	1888.9	2000.4	2057.6	1667.4	1417.8	1883.2	2225.8	360.9	2140.9	1826.3	1605.2	
26788	2638.3	2102.5	2245.5	2307.2	1882	1590	2099.8	2488.3	390.8	2417.1	2015.4	1792.3	
31251	2854.8	2296.4	2462.4	2507.8	2080.9	1750.7	2298.9	2697.4	410.6	2665.8	2187.5	1978.1	
35714	3050	2460.8	2642	2713.6	2259.1	1921.5	2479.3	2898.6	426.6	2881.6	2359.5	2149.8	
40177	3245.6	2624.4	2819.5	2891.4	2438.9	2069.2	2647.9	3071.7	451.1	3075.7	2499.4	2309.9	
44640	3415.5	2775	2979.6	3064	2597.3	2187.5	2799.7	3236.3	465.5	3289.9	2628.4	2462.4	
