	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	9.0	6.0	7.0	9.0	6.0	5.0	8.0	9.0	9.0	9.0	9.0	3.0
alpha_rarefaction_10_1.txt	10	1	10.0	7.0	9.0	8.0	6.0	5.0	8.0	9.0	8.0	10.0	8.0	5.0
alpha_rarefaction_10_2.txt	10	2	10.0	6.0	9.0	7.0	7.0	3.0	9.0	10.0	7.0	8.0	10.0	5.0
alpha_rarefaction_10_3.txt	10	3	9.0	7.0	6.0	8.0	8.0	4.0	8.0	10.0	8.0	10.0	9.0	8.0
alpha_rarefaction_10_4.txt	10	4	10.0	7.0	8.0	8.0	6.0	3.0	6.0	10.0	8.0	8.0	7.0	6.0
alpha_rarefaction_10_5.txt	10	5	10.0	7.0	8.0	8.0	7.0	6.0	9.0	10.0	8.0	10.0	8.0	4.0
alpha_rarefaction_10_6.txt	10	6	10.0	8.0	8.0	6.0	10.0	5.0	9.0	10.0	6.0	8.0	10.0	6.0
alpha_rarefaction_10_7.txt	10	7	10.0	5.0	7.0	7.0	9.0	6.0	10.0	10.0	8.0	10.0	10.0	9.0
alpha_rarefaction_10_8.txt	10	8	9.0	5.0	9.0	6.0	5.0	6.0	10.0	10.0	10.0	9.0	10.0	6.0
alpha_rarefaction_10_9.txt	10	9	9.0	5.0	7.0	10.0	8.0	6.0	9.0	10.0	7.0	5.0	9.0	6.0
alpha_rarefaction_4473_0.txt	4473	0	890.0	656.0	723.0	756.0	579.0	486.0	701.0	845.0	188.0	799.0	734.0	550.0
alpha_rarefaction_4473_1.txt	4473	1	943.0	649.0	696.0	756.0	578.0	456.0	725.0	868.0	179.0	756.0	687.0	585.0
alpha_rarefaction_4473_2.txt	4473	2	905.0	669.0	692.0	745.0	593.0	474.0	697.0	816.0	198.0	729.0	733.0	546.0
alpha_rarefaction_4473_3.txt	4473	3	899.0	670.0	715.0	740.0	584.0	460.0	672.0	841.0	192.0	739.0	703.0	601.0
alpha_rarefaction_4473_4.txt	4473	4	920.0	658.0	766.0	737.0	579.0	461.0	706.0	879.0	192.0	763.0	713.0	550.0
alpha_rarefaction_4473_5.txt	4473	5	928.0	697.0	707.0	732.0	563.0	457.0	707.0	857.0	184.0	766.0	713.0	573.0
