per_sample	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
10	3.24192809489	2.285440689969	2.795636190057	2.735636190057	2.578541130611	1.7318307859784	3.014379219868	3.28192809489	2.879281469824	3.019281469824	3.106830344846	2.0432832562557	
4473	7.816254472002	5.406098626901	6.488597117346	6.200927961189	5.471478799276	3.620432980019	6.928316700838	7.428454870045	4.527520976785	6.892449831259	7.15472784401	4.837297287459	
8936	7.953167324871	5.501393717984	6.58144767271	6.303864546726	5.548018912535	3.66688722303	7.043391898464	7.548855291239	4.527243142769	6.992470839914	7.262828680186	4.94776293906	
13399	8.024053040299	5.56686914077	6.622173777567	6.377543403701	5.614414978261	3.707761312017	7.097407625506	7.585473500539	4.553828528393	7.05876635292	7.31186963897	4.975131169618	
17862	8.067425320449	5.602063107434	6.678892330159	6.410675866841	5.639239193971	3.752419622536	7.13157654757	7.641598221776	4.543636208803	7.094496033586	7.342180272778	5.002163235063	
22325	8.093814708264	5.625829461714	6.681817116364	6.442177608648	5.661758697014	3.76520051934	7.162619179129	7.664537027655	4.557683474944	7.126722059108	7.364039997914	5.036339545814	
26788	8.124645702745	5.645334042221	6.714063422328	6.460216515391	5.683003178449	3.766961207328	7.172470229724	7.687643164527	4.555267929604	7.149396212815	7.373424659855	5.03011885094	
31251	8.133052839415	5.656444370128	6.734124503002	6.468777691615	5.688153176962	3.788114720623	7.19309710642	7.706492243163	4.557124641075	7.164821124167	7.391251679693	5.062475158099	
35714	8.147515963583	5.667036930509	6.738613328095	6.480334441367	5.699890268823	3.800226288279	7.203875092731	7.715516151299	4.562213473114	7.18156953034	7.403867751181	5.063563682184	
40177	8.162292830706	5.672389140312	6.74259784371	6.490669698795	5.716259002831	3.808243191831	7.213296781971	7.72486256634	4.567045260252	7.182706029455	7.404019250987	5.070462078697	
44640	8.169438182533	5.6829677479	6.754355852426	6.498101716533	5.725983861411	3.807041576626	7.223660899962	7.734338912887	4.567253545087	7.201252659066	7.414101546705	5.081435870597	
