per_sample	CK	JXBR16	R37J16	RW37
10	3.114379219868	2.459121345513	2.946830344846	3.006830344846	
4473	7.136098962378	5.242516895624	6.800962376043	6.391797927011	
8936	7.286015013951	5.348922512357	6.95072705087	6.463542842641	
13399	7.366284333335	5.411211429012	7.039455824187	6.520934941461	
17862	7.41186448785	5.449447742589	7.058890085626	6.544117722514	
22325	7.445695377562	5.460932010405	7.086304452148	6.553140244647	
26788	7.458466855911	5.474720583153	7.105301447703	6.573399933404	
31251	7.488956224461	5.491110262498	7.116735620206	6.585082244275	
35714	7.50369180688	5.501413885754	7.145742962178	6.590249020055	
40177	7.509917100637	5.520966161071	7.147977612187	6.600885693894	
44640	7.523300323889	5.529626817351	7.163301204746	6.603640775925	
