per_sample	CK	JXBR16	R37J16	RW37
10	0.874	0.758	0.852	0.866	
4473	0.9496565652202	0.8142583198724	0.9390207154445	0.9639910456605	
8936	0.9501573709475	0.8147676399127	0.9393277967306	0.9634888081087	
13399	0.9501868893877	0.8170681165541	0.9414582643128	0.9638694193393	
17862	0.9504876160193	0.8170294587722	0.9400366218517	0.9637161732653	
22325	0.9503460078324	0.8157328553424	0.9402458898813	0.9636752173492	
26788	0.9497375771991	0.8145523582384	0.9405386966086	0.9637448010091	
31251	0.9503081645973	0.8153884000354	0.9397576255577	0.9637174842302	
35714	0.9502198585991	0.8159391101865	0.9407654910004	0.9636961159977	
40177	0.9501500961168	0.8162528999682	0.9401724532496	0.9638312455587	
44640	0.9502420115605	0.8150979549859	0.940386326976	0.9637008123931	
