	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_10_0.txt	10	0	0.88	0.7	0.82	0.88	0.7	0.6	0.86	0.88	0.88	0.88	0.88	0.34
alpha_rarefaction_10_1.txt	10	1	0.9	0.82	0.88	0.84	0.7	0.6	0.86	0.88	0.86	0.9	0.84	0.6
alpha_rarefaction_10_2.txt	10	2	0.9	0.76	0.88	0.78	0.78	0.34	0.88	0.9	0.82	0.84	0.9	0.6
alpha_rarefaction_10_3.txt	10	3	0.88	0.78	0.7	0.84	0.84	0.48	0.84	0.9	0.86	0.9	0.88	0.84
alpha_rarefaction_10_4.txt	10	4	0.9	0.78	0.86	0.84	0.76	0.34	0.76	0.9	0.86	0.84	0.82	0.7
alpha_rarefaction_10_5.txt	10	5	0.9	0.78	0.84	0.84	0.78	0.7	0.88	0.9	0.86	0.9	0.86	0.48
alpha_rarefaction_10_6.txt	10	6	0.9	0.84	0.84	0.76	0.9	0.6	0.88	0.9	0.8	0.86	0.9	0.7
alpha_rarefaction_10_7.txt	10	7	0.9	0.6	0.82	0.78	0.88	0.7	0.9	0.9	0.86	0.9	0.9	0.88
alpha_rarefaction_10_8.txt	10	8	0.88	0.6	0.88	0.7	0.68	0.7	0.9	0.9	0.9	0.88	0.9	0.7
alpha_rarefaction_10_9.txt	10	9	0.88	0.6	0.78	0.9	0.84	0.76	0.88	0.9	0.82	0.72	0.88	0.7
alpha_rarefaction_4473_0.txt	4473	0	0.988934126407	0.82613334077	0.938410151397	0.901991225491	0.877761089227	0.63177784945	0.968783313688	0.980690911997	0.916720933195	0.96069413975	0.979405708664	0.746395455476
alpha_rarefaction_4473_1.txt	4473	1	0.989048382253	0.809513263599	0.937425531903	0.907177521247	0.86270940595	0.643553798635	0.970507747281	0.980600546919	0.918880198747	0.957934006403	0.9779285795	0.763040622951
alpha_rarefaction_4473_2.txt	4473	2	0.98832726093	0.814825210797	0.937856165485	0.909774617599	0.867884705955	0.644730044074	0.968619177119	0.980208698349	0.914734600814	0.959979216032	0.977421775355	0.744716304384
alpha_rarefaction_4473_3.txt	4473	3	0.989260300357	0.823987170158	0.934371712052	0.906843350387	0.867477663257	0.630886493914	0.967853173141	0.980972603138	0.916088777492	0.959782492056	0.978513953283	0.762784122076
alpha_rarefaction_4473_4.txt	4473	4	0.98850679155	0.807729452953	0.940551024057	0.903346701667	0.872235324659	0.64500333846	0.966446716666	0.981213110194	0.91443811539	0.960957238075	0.97992420829	0.749746860326
alpha_rarefaction_4473_5.txt	4473	5	0.98904528345	0.826501898341	0.938106568717	0.913386421817	0.860296138557	0.63425289297	0.969353893188	0.981006889887	0.916383563572	0.958134928757	0.978946086285	0.754306998061
alpha_rarefaction_4473_6.txt	4473	6	0.989259600627	0.817497977906	0.935735684945	0.9076571359	0.86814990347	0.640065746592	0.966949322434	0.980954410168	0.916154851957	0.959782691979	0.979394812875	0.753554788752
alpha_rarefaction_4473_7.txt	4473	7	0.988436518707	0.816254558426	0.942969089595	0.907879749871	0.864296092775	0.640960700737	0.967500909274	0.981090157709	0.919762357837	0.961415760879	0.978346817872	0.768728324939
alpha_rarefaction_4473_8.txt	4473	8	0.988933026832	0.808820031499	0.935537961355	0.901915654695	0.867031635624	0.641044868211	0.970228455213	0.981939529469	0.915367156362	0.959330666664	0.97937332118	0.750244667948
alpha_rarefaction_4473_9.txt	4473	9	0.98897810941	0.827578382334	0.936480297189	0.901140054426	0.87444706993	0.633457900194	0.966917134873	0.980666221539	0.918343905998	0.960346973912	0.979580441139	0.765805454482
alpha_rarefaction_8936_0.txt	8936	0	0.98904376912	0.817947997257	0.935063996316	0.900688217376	0.868949037981	0.642186850048	0.969228359391	0.980927739204	0.917738640198	0.961260177817	0.979152281738	0.759835058055
alpha_rarefaction_8936_1.txt	8936	1	0.988713784044	0.812097004943	0.937821970259	0.903636818751	0.863938474452	0.628470691615	0.969165267747	0.981022940212	0.915004059505	0.960842430485	0.978633547703	0.752657488164
alpha_rarefaction_8936_2.txt	8936	2	0.988775397956	0.819485139125	0.938030280382	0.90826169422	0.866193042697	0.631705597308	0.969110366245	0.980816132866	0.915766694465	0.958601587615	0.978953414072	0.759488442232
alpha_rarefaction_8936_3.txt	8936	3	0.989173959817	0.815511041814	0.934733760777	0.900400460371	0.868536800837	0.630777982334	0.96930517641	0.980016830116	0.915547213689	0.961029075555	0.979413840308	0.758479376672
alpha_rarefaction_8936_4.txt	8936	4	0.989100048169	0.81206692433	0.932962460998	0.903579587942	0.865137265777	0.635207120925	0.968753205927	0.981003053445	0.915656941554	0.961088310068	0.979757450575	0.75880643133
alpha_rarefaction_8936_5.txt	8936	5	0.988941530101	0.815052994977	0.936611933142	0.908292851824	0.867800439452	0.641995571412	0.968899927185	0.980454739723	0.915470496855	0.958295571853	0.979025923127	0.761293754894
alpha_rarefaction_8936_6.txt	8936	6	0.988910372497	0.814962051841	0.93814514274	0.903316175946	0.866461263584	0.63481299226	0.968222499758	0.980996466267	0.91842824013	0.961012144252	0.978205882035	0.757403562707
