	observed_species	shannon	simpson	chao1	goods_coverage
CK1	3007.0	8.14770563774	0.989098473772	3806.24675325	0.976411290323
CK2	2775.0	5.67499927312	0.817012772832	7381.02033898	0.963060035842
CK3	2629.0	6.73824103351	0.936060916644	3353.16739447	0.977643369176
JXBR161	2505.0	6.46634472782	0.905382435229	3121.48701299	0.980465949821
JXBR162	2552.0	5.72112123098	0.867880302476	4983.20132743	0.966778673835
JXBR163	2047.0	3.80754655864	0.637773583531	3400.12471132	0.975739247312
RW371	2433.0	7.20343778574	0.969268430599	3115.90406504	0.979457885305
RW372	2850.0	7.71667399239	0.980691222733	3577.62114537	0.977688172043
RW373	468.0	4.56947347603	0.916794818524	568.5	0.996975806452
R37J161	3057.0	7.19378322467	0.96011924247	4634.46958982	0.966532258065
R37J162	2691.0	7.42675114901	0.978890030037	4592.30861723	0.969130824373
R37J163	2240.0	5.06744450923	0.75559040223	3664.75694444	0.975134408602
