#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
SH010931.07FU_AF400258_reps_singleton	1	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
SH028822.07FU_GU721442_reps	4	0	6	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
SH492140.07FU_JX363160_reps	4	0	0	0	k__Fungi; p__; c__; o__; f__; g__; s__
SH483047.07FU_AY046179_reps_singleton	0	5	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Tetrapisispora; s__Tetrapisispora_iriomotensis
SH027444.07FU_EF113335_reps	497	5	2	37	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium; s__Metarhizium_flavoviride
SH019322.07FU_AY677273_refs	39	11	34	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Ilyonectria; s__Ilyonectria_destructans
SH029388.07FU_JX657347_reps_singleton	0	0	8	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_ord_Incertae_sedis; f__Myxotrichaceae; g__Oidiodendron; s__
SH003351.07FU_AM942456_reps_singleton	8	0	0	0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__; s__
SH025851.07FU_JN098061_reps	0	2	1	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Diatrypaceae; g__; s__
SH013920.07FU_GQ221865_reps	0	9	1	8	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; s__Chaetomium_globosum
SH012180.07FU_JQ618517_reps	0	0	0	3	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__; s__
SH026947.07FU_DQ420876_reps	120	41	1079	27	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__; g__; s__
SH002385.07FU_JX624289_reps	1	3	0	9	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
SH013921.07FU_KF981440_refs	2294	1249	680	1135	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__Trichocladium_asperum
SH020534.07FU_FR799443_reps	4	3	2	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__; s__
SH025544.07FU_AJ621774_reps_singleton	1	10	59	31	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_charticola
SH013329.07FU_KF800468_reps_singleton	481	6	10	9	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
SH031807.07FU_JX489803_reps	0	0	12	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__; s__
SH494533.07FU_JX338953_reps_singleton	1	3	1	3	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Trichocladium; s__Trichocladium_asperum
SH025354.07FU_HM134143_reps_singleton	0	3	3	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Scytalidium; s__
SH014415.07FU_AJ292394_refs	50	6	24	9	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Simplicillium; s__Simplicillium_obclavatum
SH011768.07FU_KC505571_reps	0	0	2	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__Hygrocybe_acutoconica
SH028689.07FU_AF203804_reps_singleton	1	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_flavus
SH015503.07FU_HG796879_reps_singleton	0	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_equina
SH018601.07FU_EF568042_refs	0	0	0	4	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida; s__Candida_tropicalis
SH013083.07FU_HQ607977_reps	54	0	0	42	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
SH016381.07FU_GU328581_reps	1	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavulinopsis; s__
SH495529.07FU_KP714289_reps_singleton	726	60	29	181	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
SH028768.07FU_JX974785_reps	1	7	0	24	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__
SH487808.07FU_KU535734_reps_singleton	0	3	0	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH013923.07FU_HQ871756_reps	0	0	42	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; s__Chaetomium_olivicolor
SH012176.07FU_AM262358_reps	0	0	0	3	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__; s__
SH008971.07FU_KF246063_reps	2	1	0	3	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Massariosphaeria; s__
SH495990.07FU_HG937058_reps_singleton	0	0	0	1	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Cystofilobasidiaceae; g__Guehomyces; s__Guehomyces_pullulans
SH004149.07FU_DQ421181_reps	156	11	1072	26	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH023907.07FU_HQ589152_reps_singleton	463	389	92	451	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
SH005749.07FU_GQ169764_reps	19	2	0	99	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH493413.07FU_KC111884_reps_singleton	7	0	2	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Cordyceps; s__
SH021364.07FU_FJ827216_reps	0	0	0	3	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__; s__
SH013924.07FU_HG917304_reps	0	0	4173	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH005460.07FU_JQ905831_reps_singleton	15	3	2	18	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_maackiae
SH028442.07FU_AB524805_reps	83	32	31	117	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__; g__; s__
SH009137.07FU_KJ740815_reps	241	154	191	498	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__
SH026603.07FU_KC005774_reps_singleton	6	0	0	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phialophora; s__Phialophora_livistonae
SH005597.07FU_AF358233_refs	1164	1450	245	2666	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_rosea
SH025211.07FU_JX156066_reps	0	0	2	89	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__; s__
SH004883.07FU_FJ528714_reps	7	5	1	4	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH017382.07FU_JQ655465_reps_singleton	4	6	1	5	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__; s__
SH003105.07FU_AF325663_reps	0	0	2	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Strophariaceae; g__Gymnopilus; s__Gymnopilus_decipiens
SH494510.07FU_JX384774_reps_singleton	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium; s__Chaetomium_globosum
SH497060.07FU_KM246506_reps_singleton	0	0	0	2	k__Fungi; p__; c__; o__; f__; g__; s__
SH028120.07FU_KJ869167_reps_singleton	0	0	2	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__; s__
SH022315.07FU_GU721291_reps	0	66	0	30	k__Fungi; p__; c__; o__; f__; g__; s__
SH010921.07FU_AF149868_reps	0	22	7	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_harzianum
SH012716.07FU_FJ914669_reps	0	0	17	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__; s__
SH496259.07FU_JX328601_reps_singleton	8	8	6	85	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__; s__
SH005829.07FU_HQ630992_reps	0	8	1	32	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Phaeosphaeria; s__
SH488179.07FU_KT224886_reps_singleton	0	0	2	0	k__Fungi; p__; c__; o__; f__; g__; s__
SH014167.07FU_KF147333_reps_singleton	1165	65545	232	36070	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_piperis
SH015649.07FU_HQ631022_reps_singleton	49	7	1	1	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriaceae; g__Cyphellophora; s__
SH020637.07FU_EF505590_reps	0	0	10	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__; f__; g__; s__
SH488679.07FU_KT329199_reps_singleton	4	3	2	8	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH030664.07FU_AJ301899_reps_singleton	7	2	16	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__; s__
