"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",24.1011191292664,-9.18000281204069,0.21194492346978,5.35861688190972,0.347452177837763
"CK2",5.01046530894851,3.6412162386797,-5.16411567333429,-19.6584227581827,1.65511162935504
"CK3",2.19566254792112,4.06005644934359,-2.92408468380729,1.01415180288328,-4.07651901768445
"JXBR161",-2.25182387887595,0.763941362219215,-0.659193655643624,1.56137140300776,0.4413853538224
"JXBR162",-2.5557385122057,3.07954069303964,-2.15643468753942,2.64977581319885,0.966545910662998
"JXBR163",-1.95420422208645,3.47220721794118,-3.15991582605438,1.06867108330148,-0.282821608445246
"RW371",-2.95780850834124,1.79689889784979,7.42049168021561,1.90110492924366,18.2097169040823
"RW372",-2.09958600985868,2.47801029581292,19.6982771230245,-1.59239105033745,-8.04838781612994
"RW373",-3.76323365747186,8.93124205222109,-9.36962228329431,7.7363188193176,-1.80050546694129
"R37J161",-1.42816467915758,0.618008957193958,1.06754628881034,-0.838475518151965,-3.45500842910953
"R37J162",-11.6651038853659,-22.5533973767875,-3.37871235986869,-1.30603796527761,-1.11082905095026
"R37J163",-2.63158363277269,2.89227802452702,-1.58618084597818,2.10531655908735,-2.84614058649982
