	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.717217764604	0.669107543213	0.664011470448	0.663829042885	0.806028216145	0.628376550064	0.666663619661	0.960370186463	0.680926984614	0.689049664632	0.749872190247
CK2	0.717217764604	0.0	0.536884804186	0.793985437052	0.821778638	0.805858631706	0.617534324363	0.737668828464	0.98878506334	0.804347090777	0.827816490112	0.820988475767
CK3	0.669107543213	0.536884804186	0.0	0.729843872423	0.725348228806	0.793116445617	0.588901157102	0.667936949385	0.970458883778	0.717927324351	0.777294107336	0.737689243028
JXBR161	0.664011470448	0.793985437052	0.729843872423	0.0	0.475397345443	0.562592285961	0.657975596502	0.65407631551	0.97385506075	0.514944821167	0.641053561847	0.473204065351
JXBR162	0.663829042885	0.821778638	0.725348228806	0.475397345443	0.0	0.456978594861	0.656866226529	0.709295276405	0.943802803053	0.42713363819	0.606969860065	0.385184892957
JXBR163	0.806028216145	0.805858631706	0.793116445617	0.562592285961	0.456978594861	0.0	0.760249870868	0.753995940632	0.987593022373	0.624051897937	0.772629014663	0.366254845839
RW371	0.628376550064	0.617534324363	0.588901157102	0.657975596502	0.656866226529	0.760249870868	0.0	0.56643673988	0.962098167623	0.646299018204	0.735167412136	0.743726291814
RW372	0.666663619661	0.737668828464	0.667936949385	0.65407631551	0.709295276405	0.753995940632	0.56643673988	0.0	0.957366061052	0.652627286131	0.73132788492	0.70746936378
RW373	0.960370186463	0.98878506334	0.970458883778	0.97385506075	0.943802803053	0.987593022373	0.962098167623	0.957366061052	0.0	0.946417489422	0.938902397735	0.975983516837
R37J161	0.680926984614	0.804347090777	0.717927324351	0.514944821167	0.42713363819	0.624051897937	0.646299018204	0.652627286131	0.946417489422	0.0	0.611162811066	0.530929219558
R37J162	0.689049664632	0.827816490112	0.777294107336	0.641053561847	0.606969860065	0.772629014663	0.735167412136	0.73132788492	0.938902397735	0.611162811066	0.0	0.676867198829
R37J163	0.749872190247	0.820988475767	0.737689243028	0.473204065351	0.385184892957	0.366254845839	0.743726291814	0.70746936378	0.975983516837	0.530929219558	0.676867198829	0.0
