	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
CK1	0.0	0.705936379928	0.669802867384	0.663866487455	0.626792114695	0.811133512545	0.627172939068	0.669310035842	0.934050179211	0.63622311828	0.655577956989	0.760730286738
CK2	0.705936379928	0.0	0.557907706093	0.792809139785	0.803001792115	0.819982078853	0.624417562724	0.737858422939	0.975291218638	0.777150537634	0.798073476703	0.817181899642
CK3	0.669802867384	0.557907706093	0.0	0.726142473118	0.710349462366	0.803673835125	0.586626344086	0.66917562724	0.952172939068	0.697289426523	0.763284050179	0.750627240143
JXBR161	0.663866487455	0.792809139785	0.726142473118	0.0	0.348275089606	0.514090501792	0.651814516129	0.650515232975	0.943593189964	0.444063620072	0.631541218638	0.432616487455
JXBR162	0.626792114695	0.803001792115	0.710349462366	0.348275089606	0.0	0.482549283154	0.650403225806	0.703046594982	0.934363799283	0.44563172043	0.611559139785	0.413037634409
JXBR163	0.811133512545	0.819982078853	0.803673835125	0.514090501792	0.482549283154	0.0	0.780488351254	0.762141577061	0.979592293907	0.643100358423	0.777620967742	0.361447132616
RW371	0.627172939068	0.624417562724	0.586626344086	0.651814516129	0.650403225806	0.780488351254	0.0	0.571729390681	0.940658602151	0.622020609319	0.720228494624	0.757168458781
RW372	0.669310035842	0.737858422939	0.66917562724	0.650515232975	0.703046594982	0.762141577061	0.571729390681	0.0	0.938732078853	0.615613799283	0.714919354839	0.723633512545
RW373	0.934050179211	0.975291218638	0.952172939068	0.943593189964	0.934363799283	0.979592293907	0.940658602151	0.938732078853	0.0	0.941532258065	0.920362903226	0.960237455197
R37J161	0.63622311828	0.777150537634	0.697289426523	0.444063620072	0.44563172043	0.643100358423	0.622020609319	0.615613799283	0.941532258065	0.0	0.602889784946	0.535663082437
R37J162	0.655577956989	0.798073476703	0.763284050179	0.631541218638	0.611559139785	0.777620967742	0.720228494624	0.714919354839	0.920362903226	0.602889784946	0.0	0.675380824373
R37J163	0.760730286738	0.817181899642	0.750627240143	0.432616487455	0.413037634409	0.361447132616	0.757168458781	0.723633512545	0.960237455197	0.535663082437	0.675380824373	0.0
